MsOfDay, Time,Price,Size
34201012,9:30:1:12,48.37,12941
34201017,9:30:1:17,48.37,900
34201039,9:30:1:39,48.37,1500
34201039,9:30:1:39,48.37,100
34201065,9:30:1:65,48.311,100
34201166,9:30:1:166,48.31,100
34201186,9:30:1:186,48.29,100
34201186,9:30:1:186,48.29,100
34201382,9:30:1:382,48.28,100
34202019,9:30:2:19,48.26,100
34202396,9:30:2:396,48.29,100
34202396,9:30:2:396,48.26,100
34202396,9:30:2:396,48.26,100
34202396,9:30:2:396,48.26,100
34202396,9:30:2:396,48.25,100
34203838,9:30:3:838,48.28,100
34204966,9:30:4:966,48.31,100
34205581,9:30:5:581,48.37,889
34220742,9:30:20:742,48.37,1
34230014,9:30:30:14,48.29,100
34239194,9:30:39:194,48.275,100
34293265,9:31:33:265,48.23,100
34293265,9:31:33:265,48.21,142
34293265,9:31:33:265,48.23,100
34293265,9:31:33:265,48.22,100
34293265,9:31:33:265,48.21,108
34293265,9:31:33:265,48.23,58
34293265,9:31:33:265,48.23,100
34293265,9:31:33:265,48.21,69
34293265,9:31:33:265,48.23,100
34293265,9:31:33:265,48.23,42
34293265,9:31:33:265,48.23,16
34293265,9:31:33:265,48.21,100
34293265,9:31:33:265,48.21,100
34293265,9:31:33:265,48.21,100
34293266,9:31:33:266,48.21,50
34293266,9:31:33:266,48.21,50
34293266,9:31:33:266,48.21,58
34293266,9:31:33:266,48.21,100
34293269,9:31:33:269,48.18,92
34293270,9:31:33:270,48.18,8
34293270,9:31:33:270,48.19,100
34293302,9:31:33:302,48.1963,293
34293633,9:31:33:633,48.18,92
34293633,9:31:33:633,48.18,8
34293633,9:31:33:633,48.18,42
34293634,9:31:33:634,48.18,58
34293634,9:31:33:634,48.18,92
34293634,9:31:33:634,48.18,8
34293634,9:31:33:634,48.19,100
34293634,9:31:33:634,48.18,100
34293637,9:31:33:637,48.18,100
34294046,9:31:34:46,48.21,50
34294046,9:31:34:46,48.21,100
34294046,9:31:34:46,48.21,50
34294046,9:31:34:46,48.2,500
34294049,9:31:34:49,48.21,50
34294049,9:31:34:49,48.21,150
34294049,9:31:34:49,48.21,100
34294055,9:31:34:55,48.21,100
34295048,9:31:35:48,48.23,200
34295057,9:31:35:57,48.28,100
34299544,9:31:39:544,48.27,26
34303109,9:31:43:109,48.29,100
34303109,9:31:43:109,48.29,100
34303110,9:31:43:110,48.28,100
34303110,9:31:43:110,48.29,100
34303110,9:31:43:110,48.29,100
34303115,9:31:43:115,48.28,100
34303116,9:31:43:116,48.31,67
34304924,9:31:44:924,48.31,2000
34304924,9:31:44:924,48.31,100
34304924,9:31:44:924,48.32,33
34304925,9:31:44:925,48.32,67
34359575,9:32:39:575,48.33,1
34392823,9:33:12:823,48.29,100
34393281,9:33:13:281,48.3,500
34404900,9:33:24:900,48.27,29
34419995,9:33:39:995,48.31,2
34419995,9:33:39:995,48.31,100
34419995,9:33:39:995,48.31,98
34419996,9:33:39:996,48.31,26
34420050,9:33:40:50,48.32,100
34420455,9:33:40:455,48.3,86
34443727,9:34:3:727,48.315,100
34443727,9:34:3:727,48.315,100
34443729,9:34:3:729,48.315,100
34443729,9:34:3:729,48.315,100
34443730,9:34:3:730,48.315,100
34446004,9:34:6:4,48.3,100
34446005,9:34:6:5,48.315,100
34446005,9:34:6:5,48.315,100
34451627,9:34:11:627,48.3,100
34451627,9:34:11:627,48.3,100
34451627,9:34:11:627,48.315,100
34451628,9:34:11:628,48.315,100
34451628,9:34:11:628,48.3,109
34451628,9:34:11:628,48.31,100
34451629,9:34:11:629,48.3,62
34451630,9:34:11:630,48.31,38
34451630,9:34:11:630,48.31,100
34451633,9:34:11:633,48.3,100
