MsOfDay, Time,Price,Size
34201004,9:30:1:4,48.6,12881
34228652,9:30:28:652,48.59,8
34238287,9:30:38:287,48.58,34
34242538,9:30:42:538,48.57,100
34257044,9:30:57:44,48.57,100
34263021,9:31:3:21,48.54,100
34279746,9:31:19:746,48.61,10
34279746,9:31:19:746,48.61,40
34279746,9:31:19:746,48.61,40
34302764,9:31:42:764,48.5701,5
34302774,9:31:42:774,48.59,8
34302774,9:31:42:774,48.58,92
34309002,9:31:49:2,48.58,300
34309004,9:31:49:4,48.57,400
34309004,9:31:49:4,48.59,100
34309005,9:31:49:5,48.58,100
34309012,9:31:49:12,48.58,300
34309013,9:31:49:13,48.57,10
34309015,9:31:49:15,48.59,100
34309017,9:31:49:17,48.57,100
34309021,9:31:49:21,48.57,100
34309333,9:31:49:333,48.61,1
34309409,9:31:49:409,48.61,1
34323650,9:32:3:650,48.58,300
34325203,9:32:5:203,48.61,100
34325203,9:32:5:203,48.61,50
34325203,9:32:5:203,48.61,100
34325203,9:32:5:203,48.61,50
34325203,9:32:5:203,48.62,50
34325203,9:32:5:203,48.62,100
34325203,9:32:5:203,48.61,300
34325203,9:32:5:203,48.61,300
34325203,9:32:5:203,48.62,50
34349213,9:32:29:213,48.6096,1525
34355815,9:32:35:815,48.65,100
34355815,9:32:35:815,48.65,50
34355815,9:32:35:815,48.65,90
34355815,9:32:35:815,48.65,30
34355815,9:32:35:815,48.65,20
34355815,9:32:35:815,48.65,10
34355816,9:32:35:816,48.65,140
34355816,9:32:35:816,48.65,120
34357004,9:32:37:4,48.7,100
34357029,9:32:37:29,48.74,70
34373621,9:32:53:621,48.76,30
34394978,9:33:14:978,48.76,100
34418140,9:33:38:140,48.75,100
34418141,9:33:38:141,48.75,100
34418212,9:33:38:212,48.75,100
34429049,9:33:49:49,48.7215,61
34456232,9:34:16:232,48.74,100
34485145,9:34:45:145,48.73,100
34485153,9:34:45:153,48.71,400
34486513,9:34:46:513,48.75,28
34486513,9:34:46:513,48.75,100
34486513,9:34:46:513,48.75,100
34486513,9:34:46:513,48.75,100
34486513,9:34:46:513,48.75,7
34486515,9:34:46:515,48.75,72
