MsOfDay, Time,Price,Size
34201004,9:30:1:4,48.03,14213
34201009,9:30:1:9,48.07,9
34202300,9:30:2:300,48.035,400
34202300,9:30:2:300,48.035,245
34202300,9:30:2:300,48.035,400
34202399,9:30:2:399,48.0571,191
34202651,9:30:2:651,48.035,100
34209807,9:30:9:807,48,7
34212674,9:30:12:674,48,72
34213368,9:30:13:368,48,7
34215514,9:30:15:514,48,5
34216772,9:30:16:772,48,86
34217309,9:30:17:309,48.035,100
34217550,9:30:17:550,48,20
34217729,9:30:17:729,48.035,100
34217928,9:30:17:928,48.035,100
34217987,9:30:17:987,48,83
34218233,9:30:18:233,48.035,200
34218236,9:30:18:236,48.035,200
34218741,9:30:18:741,48.035,400
34219529,9:30:19:529,48.035,100
34228498,9:30:28:498,48.035,100
34254013,9:30:54:13,48.03,100
34272428,9:31:12:428,48.03,100
34273129,9:31:13:129,48.03,100
34277566,9:31:17:566,48,91
34277566,9:31:17:566,48,91
34277566,9:31:17:566,48,9
34277566,9:31:17:566,48,91
34277566,9:31:17:566,48,100
34277566,9:31:17:566,48,109
34277566,9:31:17:566,48,80
34277566,9:31:17:566,48,20
34277566,9:31:17:566,48,11
34277566,9:31:17:566,48,9
34277566,9:31:17:566,48,91
34277566,9:31:17:566,48,9
34277567,9:31:17:567,48,100
34277930,9:31:17:930,48.01,100
34290071,9:31:30:71,47.98,1
34314674,9:31:54:674,47.95,2
34314675,9:31:54:675,47.98,7
34314675,9:31:54:675,47.98,50
34314687,9:31:54:687,47.98,42
34323663,9:32:3:663,47.975,100
34323663,9:32:3:663,47.9825,100
34340813,9:32:20:813,48,10
34340813,9:32:20:813,48,90
34340813,9:32:20:813,48,60
34340813,9:32:20:813,48,140
34340814,9:32:20:814,48,100
34340814,9:32:20:814,48.01,38
34340814,9:32:20:814,47.975,100
34340815,9:32:20:815,47.98,111
34340816,9:32:20:816,47.985,200
34340816,9:32:20:816,47.98,100
34340816,9:32:20:816,47.98,100
34340816,9:32:20:816,48,22
34340816,9:32:20:816,48,78
34340816,9:32:20:816,48,100
34340817,9:32:20:817,47.985,100
34340817,9:32:20:817,48,64
34340817,9:32:20:817,47.985,200
34340818,9:32:20:818,47.985,100
34340868,9:32:20:868,47.995,100
34340873,9:32:20:873,48.01,62
34340873,9:32:20:873,48.02,138
34340874,9:32:20:874,48,36
34340938,9:32:20:938,47.975,150
34341128,9:32:21:128,48,200
34341128,9:32:21:128,48.02,62
34341129,9:32:21:129,48,200
34341129,9:32:21:129,48,100
34341129,9:32:21:129,48,200
34341130,9:32:21:130,48,100
34341637,9:32:21:637,48,100
34341930,9:32:21:930,48,100
34345084,9:32:25:84,47.98,2
34362475,9:32:42:475,47.98,17
34374362,9:32:54:362,47.98,25
34381141,9:33:1:141,47.99,100
34381141,9:33:1:141,47.99,100
34381147,9:33:1:147,48,100
34383095,9:33:3:95,48,100
34383416,9:33:3:416,47.99,100
34383416,9:33:3:416,47.99,200
34383417,9:33:3:417,47.99,91
34383417,9:33:3:417,47.99,9
34383417,9:33:3:417,47.99,200
34383418,9:33:3:418,47.98,100
34383418,9:33:3:418,47.98,50
34383418,9:33:3:418,47.98,50
34383418,9:33:3:418,47.98,41
34383418,9:33:3:418,47.98,100
34383418,9:33:3:418,47.98,31
34383418,9:33:3:418,47.98,100
34383418,9:33:3:418,47.98,19
34383548,9:33:3:548,47.99,100
34383781,9:33:3:781,47.98,100
34385922,9:33:5:922,47.98,100
34385924,9:33:5:924,47.98,100
34401127,9:33:21:127,47.97,50
34401127,9:33:21:127,47.97,50
34401127,9:33:21:127,47.97,100
34401127,9:33:21:127,47.97,50
34401127,9:33:21:127,47.97,100
34405995,9:33:25:995,47.986,30
34417277,9:33:37:277,47.96,100
34417277,9:33:37:277,47.96,100
34417277,9:33:37:277,47.96,100
34417277,9:33:37:277,47.96,50
34417277,9:33:37:277,47.96,150
34417277,9:33:37:277,47.96,140
34417277,9:33:37:277,47.96,100
34417277,9:33:37:277,47.96,100
34417278,9:33:37:278,47.96,76
34417282,9:33:37:282,47.965,100
34417284,9:33:37:284,47.95,100
34417284,9:33:37:284,47.95,100
34417285,9:33:37:285,47.95,100
34417285,9:33:37:285,47.95,100
34417285,9:33:37:285,47.95,100
34417285,9:33:37:285,47.95,98
34417290,9:33:37:290,47.95,100
34421309,9:33:41:309,47.96,100
34421309,9:33:41:309,47.95,200
34421309,9:33:41:309,47.95,200
34421310,9:33:41:310,47.955,200
34421310,9:33:41:310,47.955,200
34421445,9:33:41:445,47.955,100
34421449,9:33:41:449,47.955,100
34421945,9:33:41:945,47.955,100
34421947,9:33:41:947,47.955,100
34422618,9:33:42:618,47.955,200
34422619,9:33:42:619,47.96,200
34422634,9:33:42:634,47.96,100
34422634,9:33:42:634,47.96,200
34422634,9:33:42:634,47.96,100
34422659,9:33:42:659,47.97,100
34422664,9:33:42:664,47.96,100
34422745,9:33:42:745,47.96,100
34422748,9:33:42:748,47.96,100
34429258,9:33:49:258,47.96,100
34429265,9:33:49:265,47.96,100
34429268,9:33:49:268,47.97,100
34429270,9:33:49:270,47.98,100
34429273,9:33:49:273,47.97,100
34429273,9:33:49:273,47.9699,100
34429275,9:33:49:275,47.9699,700
34429278,9:33:49:278,47.99,100
34429278,9:33:49:278,47.99,200
34429945,9:33:49:945,47.985,100
34429947,9:33:49:947,47.985,200
34431147,9:33:51:147,47.97,47
34431147,9:33:51:147,47.97,100
34439673,9:33:59:673,48,20
34459670,9:34:19:670,47.98,100
34459670,9:34:19:670,47.985,100
34477007,9:34:37:7,47.98,100
34489203,9:34:49:203,47.9844,105
34489947,9:34:49:947,47.98,100
34496015,9:34:56:15,47.96,100
34499993,9:34:59:993,47.96,100
34500048,9:35:0:48,47.955,100
34500049,9:35:0:49,47.96,25
34500058,9:35:0:58,47.955,100
34500691,9:35:0:691,47.955,100
34500693,9:35:0:693,47.96,100
34500693,9:35:0:693,47.97,100
34500693,9:35:0:693,47.98,100
34500693,9:35:0:693,47.96,100
34500693,9:35:0:693,47.975,100
34500697,9:35:0:697,47.99,100
34501150,9:35:1:150,47.98,100
34501151,9:35:1:151,47.98,100
34502498,9:35:2:498,47.9701,90
34507941,9:35:7:941,47.99,50
34507941,9:35:7:941,47.99,50
34507943,9:35:7:943,47.9839,50
34507943,9:35:7:943,47.985,250
34513008,9:35:13:8,47.985,100
34513011,9:35:13:11,47.985,100
34513151,9:35:13:151,47.985,100
34519234,9:35:19:234,47.97,100
34519235,9:35:19:235,47.97,100
34519235,9:35:19:235,47.97,100
34519236,9:35:19:236,47.97,100
34519236,9:35:19:236,47.97,200
34519236,9:35:19:236,47.965,100
34519500,9:35:19:500,47.97,100
34519552,9:35:19:552,47.97,100
34524947,9:35:24:947,47.98,200
34524948,9:35:24:948,47.97,100
34524950,9:35:24:950,47.97,198
34524954,9:35:24:954,47.98,100
34524954,9:35:24:954,47.98,200
34525150,9:35:25:150,47.98,100
34525153,9:35:25:153,47.98,100
34529635,9:35:29:635,47.99,20
34544031,9:35:44:31,47.98,100
34546485,9:35:46:485,47.97,2
34546485,9:35:46:485,47.97,6
34553966,9:35:53:966,47.97,100
34553967,9:35:53:967,47.97,100
34553968,9:35:53:968,47.96,100
34553968,9:35:53:968,47.97,100
34553968,9:35:53:968,47.96,100
34553968,9:35:53:968,47.97,200
34553968,9:35:53:968,47.97,100
34554715,9:35:54:715,47.97,1
34554757,9:35:54:757,47.97,100
34569526,9:36:9:526,47.97,100
34569526,9:36:9:526,47.99,200
34569526,9:36:9:526,47.98,99
34569526,9:36:9:526,47.98,1
34569526,9:36:9:526,47.99,6
34569526,9:36:9:526,47.97,100
34569526,9:36:9:526,47.99,94
34569526,9:36:9:526,47.975,300
34569527,9:36:9:527,47.97,100
34569527,9:36:9:527,47.99,100
34569527,9:36:9:527,47.975,100
34569528,9:36:9:528,47.97,100
34569673,9:36:9:673,47.9899,3
34569958,9:36:9:958,47.98,100
34569961,9:36:9:961,47.98,100
34591006,9:36:31:6,47.98,200
34593614,9:36:33:614,47.99,40
34593614,9:36:33:614,47.98,260
34593614,9:36:33:614,47.99,60
34593614,9:36:33:614,47.98,260
34593667,9:36:33:667,48,3
34593959,9:36:33:959,47.985,100
34593960,9:36:33:960,47.985,100
34608084,9:36:48:84,47.98,100
34608084,9:36:48:84,47.98,100
34608085,9:36:48:85,47.98,500
34608085,9:36:48:85,47.98,7
34608085,9:36:48:85,47.98,93
34608085,9:36:48:85,47.98,7
34608085,9:36:48:85,47.98,193
34608356,9:36:48:356,47.97,20
34608359,9:36:48:359,47.98,100
34608361,9:36:48:361,47.98,100
34615040,9:36:55:40,47.97,7
34615058,9:36:55:58,47.97,80
34615058,9:36:55:58,47.97,100
34615058,9:36:55:58,47.97,100
34615058,9:36:55:58,47.97,200
34615058,9:36:55:58,47.97,93
34615058,9:36:55:58,47.97,93
34615058,9:36:55:58,47.97,93
34615257,9:36:55:257,47.97,100
34615552,9:36:55:552,47.97,570
34615559,9:36:55:559,47.97,100
34615561,9:36:55:561,47.97,100
34616317,9:36:56:317,47.9675,100
34616721,9:36:56:721,47.96,100
34616721,9:36:56:721,47.965,100
34616721,9:36:56:721,47.96,100
34616721,9:36:56:721,47.96,100
34616721,9:36:56:721,47.96,100
34616721,9:36:56:721,47.96,100
34616722,9:36:56:722,47.96,100
34616771,9:36:56:771,47.96,100
34616935,9:36:56:935,47.955,530
34617086,9:36:57:86,47.955,100
34621253,9:37:1:253,47.955,160
34621274,9:37:1:274,47.955,160
34621278,9:37:1:278,47.955,100
34621278,9:37:1:278,47.96,60
34621278,9:37:1:278,47.955,100
34621278,9:37:1:278,47.955,100
34621278,9:37:1:278,47.96,1
34621278,9:37:1:278,47.955,80
34621278,9:37:1:278,47.96,20
34621278,9:37:1:278,47.96,80
34621279,9:37:1:279,47.955,100
34626243,9:37:6:243,47.96,3
34629426,9:37:9:426,47.97,100
34629426,9:37:9:426,47.97,100
34632290,9:37:12:290,47.97,100
34632359,9:37:12:359,47.97,100
34632361,9:37:12:361,47.97,100
34633529,9:37:13:529,47.97,89
34635260,9:37:15:260,47.965,100
34637763,9:37:17:763,47.96,11
34639040,9:37:19:40,47.96,86
34639046,9:37:19:46,47.96,100
34640156,9:37:20:156,47.97,100
34640157,9:37:20:157,47.97,100
34640160,9:37:20:160,47.965,130
34640663,9:37:20:663,47.96,100
34642542,9:37:22:542,47.97,100
34644584,9:37:24:584,47.9501,134
34646230,9:37:26:230,47.95,100
34646233,9:37:26:233,47.95,100
34646234,9:37:26:234,47.95,100
34646237,9:37:26:237,47.95,100
34646240,9:37:26:240,47.95,100
34646761,9:37:26:761,47.965,100
34646762,9:37:26:762,47.965,100
34647232,9:37:27:232,47.96,100
34647233,9:37:27:233,47.955,100
34647233,9:37:27:233,47.955,100
