MsOfDay, Time,Price,Size
33963061,9:26:3:61,48.32,13
34201005,9:30:1:5,48.67,11670
34201014,9:30:1:14,48.61,100
34201014,9:30:1:14,48.61,100
34202698,9:30:2:698,48.66,100
34202698,9:30:2:698,48.66,100
34203689,9:30:3:689,48.61,100
34205662,9:30:5:662,48.62,100
34208140,9:30:8:140,48.64,6
34208424,9:30:8:424,48.64,1
34208937,9:30:8:937,48.61,1
34210709,9:30:10:709,48.635,8
34212265,9:30:12:265,48.635,200
34218268,9:30:18:268,48.63,100
34220374,9:30:20:374,48.61,100
34220375,9:30:20:375,48.61,100
34220377,9:30:20:377,48.61,14
34223848,9:30:23:848,48.61,100
34226221,9:30:26:221,48.6,100
34226221,9:30:26:221,48.61,85
34227789,9:30:27:789,48.6,100
34227789,9:30:27:789,48.59,100
34233868,9:30:33:868,48.57,1
34233868,9:30:33:868,48.57,5
34240019,9:30:40:19,48.575,8
34270024,9:31:10:24,48.585,6
34274627,9:31:14:627,48.62,56
34291712,9:31:31:712,48.63,100
34291773,9:31:31:773,48.63,100
34297257,9:31:37:257,48.63,100
34297258,9:31:37:258,48.63,73
34297258,9:31:37:258,48.63,27
34297808,9:31:37:808,48.63,100
34297808,9:31:37:808,48.63,27
34297808,9:31:37:808,48.63,73
34297809,9:31:37:809,48.63,100
34298304,9:31:38:304,48.63,23
34298304,9:31:38:304,48.63,50
34298304,9:31:38:304,48.63,200
34298309,9:31:38:309,48.63,200
34300007,9:31:40:7,48.615,6
34300279,9:31:40:279,48.59,1
34300902,9:31:40:902,48.67,100
34322629,9:32:2:629,48.69,100
34322629,9:32:2:629,48.69,100
34322629,9:32:2:629,48.69,100
34322631,9:32:2:631,48.7,100
34324354,9:32:4:354,48.645,22
34330011,9:32:10:11,48.645,6
34346194,9:32:26:194,48.7,100
34346195,9:32:26:195,48.7,548
34346237,9:32:26:237,48.72,100
34346238,9:32:26:238,48.68,37
34353186,9:32:33:186,48.73,100
34357874,9:32:37:874,48.72,6
34364988,9:32:44:988,48.65,3
34381904,9:33:1:904,48.67,100
34381904,9:33:1:904,48.66,100
34381904,9:33:1:904,48.66,59
34381907,9:33:1:907,48.695,100
34381915,9:33:1:915,48.68,37
34381916,9:33:1:916,48.68,63
34382682,9:33:2:682,48.68,4
34383006,9:33:3:6,48.64,100
34383006,9:33:3:6,48.64,100
34383007,9:33:3:7,48.64,98
34383026,9:33:3:26,48.63,25
34384055,9:33:4:55,48.67,100
34384928,9:33:4:928,48.67,100
34384929,9:33:4:929,48.67,100
34384929,9:33:4:929,48.66,100
34384929,9:33:4:929,48.66,100
34384930,9:33:4:930,48.66,100
34384943,9:33:4:943,48.67,26
34384943,9:33:4:943,48.66,26
34385025,9:33:5:25,48.67,100
34388030,9:33:8:30,48.68,100
34388368,9:33:8:368,48.63,12
34390269,9:33:10:269,48.68,6
34393518,9:33:13:518,48.67,100
34393785,9:33:13:785,48.63,100
34393797,9:33:13:797,48.63,75
34393798,9:33:13:798,48.63,88
34393798,9:33:13:798,48.66,46
34393857,9:33:13:857,48.66,54
34395947,9:33:15:947,48.63,46
34395947,9:33:15:947,48.63,4
34395947,9:33:15:947,48.63,96
34395947,9:33:15:947,48.63,100
34395948,9:33:15:948,48.62,100
34395951,9:33:15:951,48.61,84
34395951,9:33:15:951,48.61,16
34395951,9:33:15:951,48.61,100
34395952,9:33:15:952,48.59,100
34395952,9:33:15:952,48.59,100
34396026,9:33:16:26,48.57,100
34396028,9:33:16:28,48.61,100
34396028,9:33:16:28,48.61,100
34396028,9:33:16:28,48.62,100
34396029,9:33:16:29,48.61,100
34396029,9:33:16:29,48.61,100
34396029,9:33:16:29,48.61,100
34396029,9:33:16:29,48.62,100
34396029,9:33:16:29,48.61,500
34396029,9:33:16:29,48.61,652
34396522,9:33:16:522,48.61,100
34399416,9:33:19:416,48.61,500
34399418,9:33:19:418,48.61,100
34399446,9:33:19:446,48.56,100
34403808,9:33:23:808,48.65,100
34406533,9:33:26:533,48.64,100
34406535,9:33:26:535,48.65,100
34420277,9:33:40:277,48.64,8
34434519,9:33:54:519,48.59,5
34434519,9:33:54:519,48.59,95
34434519,9:33:54:519,48.59,100
34434519,9:33:54:519,48.59,4
34434519,9:33:54:519,48.59,96
34434527,9:33:54:527,48.62,100
34434528,9:33:54:528,48.59,100
34434531,9:33:54:531,48.62,100
34434532,9:33:54:532,48.59,34
34434538,9:33:54:538,48.59,66
34450398,9:34:10:398,48.61,9
34480229,9:34:40:229,48.61,17
34494700,9:34:54:700,48.57,100
34494701,9:34:54:701,48.56,100
34494701,9:34:54:701,48.57,100
34494702,9:34:54:702,48.56,100
34494702,9:34:54:702,48.56,100
34494715,9:34:54:715,48.55,100
34494716,9:34:54:716,48.55,100
34494719,9:34:54:719,48.5575,100
34494724,9:34:54:724,48.54,100
34494728,9:34:54:728,48.53,100
34501682,9:35:1:682,48.58,100
34501690,9:35:1:690,48.58,100
34501690,9:35:1:690,48.58,100
34516028,9:35:16:28,48.56,100
34523645,9:35:23:645,48.55,200
34523645,9:35:23:645,48.55,100
34523688,9:35:23:688,48.54,100
34523688,9:35:23:688,48.54,100
34528653,9:35:28:653,48.56,1
34528833,9:35:28:833,48.54,100
34533658,9:35:33:658,48.49,200
34540107,9:35:40:107,48.48,100
34540488,9:35:40:488,48.47,200
34540543,9:35:40:543,48.47,100
34540548,9:35:40:548,48.47,100
34540549,9:35:40:549,48.47,100
34540581,9:35:40:581,48.47,100
34541898,9:35:41:898,48.47,100
34542949,9:35:42:949,48.46,100
34548622,9:35:48:622,48.46,100
34548624,9:35:48:624,48.46,100
34548624,9:35:48:624,48.46,16
34586686,9:36:26:686,48.47,24
34589962,9:36:29:962,48.49,13
34597683,9:36:37:683,48.47,100
34610293,9:36:50:293,48.46,100
34610294,9:36:50:294,48.47,100
34610321,9:36:50:321,48.44,100
34610360,9:36:50:360,48.43,100
34615322,9:36:55:322,48.43,100
34615322,9:36:55:322,48.43,200
34615322,9:36:55:322,48.43,100
34632359,9:37:12:359,48.46,13
34637742,9:37:17:742,48.47,100
34637743,9:37:17:743,48.46,100
34637743,9:37:17:743,48.46,14
34638722,9:37:18:722,48.48,100
34638722,9:37:18:722,48.48,100
34638722,9:37:18:722,48.48,14
34638723,9:37:18:723,48.49,100
34638724,9:37:18:724,48.5,100
34638724,9:37:18:724,48.49,100
34638724,9:37:18:724,48.49,100
34638730,9:37:18:730,48.48,200
34638849,9:37:18:849,48.48,100
34639297,9:37:19:297,48.49,35
34639715,9:37:19:715,48.4812,2
34655962,9:37:35:962,48.49,100
34655962,9:37:35:962,48.48,100
34655962,9:37:35:962,48.48,100
34655962,9:37:35:962,48.48,100
34655964,9:37:35:964,48.47,100
34655964,9:37:35:964,48.47,100
34655965,9:37:35:965,48.475,100
34658577,9:37:38:577,48.48,100
34658577,9:37:38:577,48.47,200
34668897,9:37:48:897,48.48,100
34668919,9:37:48:919,48.49,100
34668920,9:37:48:920,48.48,100
