MsOfDay, Time,Price,Size
34200003,9:30:0:3,48.09,100
34200003,9:30:0:3,48.04,400
34200003,9:30:0:3,48.04,400
34200003,9:30:0:3,48.09,100
34200003,9:30:0:3,48.04,400
34201005,9:30:1:5,47.98,17540
34201029,9:30:1:29,47.98,100
34201030,9:30:1:30,48,50
34201031,9:30:1:31,48.01,10
34202105,9:30:2:105,47.99,5
34202776,9:30:2:776,47.98,1
34208130,9:30:8:130,47.98,1
34208131,9:30:8:131,47.98,48
34214757,9:30:14:757,48.02,100
34214757,9:30:14:757,47.98,100
34214822,9:30:14:822,48.02,50
34229407,9:30:29:407,48.03,100
34229407,9:30:29:407,48.03,17
34229409,9:30:29:409,48.03,100
34229410,9:30:29:410,48.03,100
34229412,9:30:29:412,48.02,165
34229412,9:30:29:412,48.02,165
34229868,9:30:29:868,48.05,100
34230301,9:30:30:301,48.02,1
34231975,9:30:31:975,48.03,100
34254310,9:30:54:310,48.0621,50
34254375,9:30:54:375,48.04,100
34269845,9:31:9:845,48.04,1
34269979,9:31:9:979,48.04,22
34290066,9:31:30:66,48.04,20
34294339,9:31:34:339,48.04,100
34294339,9:31:34:339,48.04,100
34294345,9:31:34:345,48.04,100
34294592,9:31:34:592,48.04,100
34299687,9:31:39:687,47.99,500
34299817,9:31:39:817,47.99,500
34299937,9:31:39:937,47.99,500
34300109,9:31:40:109,48.095,51
34304251,9:31:44:251,47.99,20
34315112,9:31:55:112,47.99,20
34316804,9:31:56:804,47.99,20
34337647,9:32:17:647,48.09,5
34351233,9:32:31:233,48,100
34455774,9:34:15:774,48.03,6
34459087,9:34:19:87,48.0186,200
34472796,9:34:32:796,48.02,100
34495954,9:34:55:954,47.97,12
34500201,9:35:0:201,48.01,46
34507728,9:35:7:728,48.02,100
34507729,9:35:7:729,48,100
34507729,9:35:7:729,48.02,100
34507729,9:35:7:729,48.02,100
34507729,9:35:7:729,48.02,34
34507729,9:35:7:729,48.005,200
34507729,9:35:7:729,48.005,200
34507729,9:35:7:729,48.005,200
34507730,9:35:7:730,48.01,200
34507730,9:35:7:730,48.01,114
34508218,9:35:8:218,47.99,200
34508218,9:35:8:218,47.99,100
34508595,9:35:8:595,48,100
34512393,9:35:12:393,48.01,100
34512393,9:35:12:393,48.01,100
34512395,9:35:12:395,48,300
34512396,9:35:12:396,48,200
34512397,9:35:12:397,48,100
34512400,9:35:12:400,48,100
34512400,9:35:12:400,48,100
34512401,9:35:12:401,48,300
34512402,9:35:12:402,48,300
34512403,9:35:12:403,48,300
34512412,9:35:12:412,48,300
34512421,9:35:12:421,48,200
34512537,9:35:12:537,48,200
34512861,9:35:12:861,48,200
34512862,9:35:12:862,48,200
34512906,9:35:12:906,48,300
34514594,9:35:14:594,47.99,100
34514594,9:35:14:594,47.99,500
34514598,9:35:14:598,47.98,3
34514599,9:35:14:599,47.98,400
34534194,9:35:34:194,48.01,200
34534249,9:35:34:249,47.99,100
34539789,9:35:39:789,47.99,100
34540022,9:35:40:22,47.99,300
34543803,9:35:43:803,48.01,100
34543804,9:35:43:804,48.01,100
34543805,9:35:43:805,48,100
34543807,9:35:43:807,48.01,100
34543810,9:35:43:810,48.01,100
34543810,9:35:43:810,48.01,100
34543886,9:35:43:886,48,21
34576478,9:36:16:478,47.99,20
34581366,9:36:21:366,47.99,20
34599789,9:36:39:789,47.99,100
34599789,9:36:39:789,47.99,100
34600515,9:36:40:515,47.99,100
34600515,9:36:40:515,47.99,200
34600515,9:36:40:515,47.99,60
34600515,9:36:40:515,47.99,100
34600515,9:36:40:515,47.99,600
34600515,9:36:40:515,47.99,100
34600515,9:36:40:515,47.99,100
34600515,9:36:40:515,47.99,100
34600515,9:36:40:515,47.99,100
34600519,9:36:40:519,47.98,100
34600520,9:36:40:520,47.98,100
34600520,9:36:40:520,47.98,100
34601036,9:36:41:36,47.97,100
34601036,9:36:41:36,47.97,100
34601040,9:36:41:40,47.97,20
34614962,9:36:54:962,47.97,200
34614962,9:36:54:962,47.97,10
34614962,9:36:54:962,47.97,300
34614968,9:36:54:968,47.98,100
34659789,9:37:39:789,47.98,100
34659789,9:37:39:789,47.98,100
34659789,9:37:39:789,47.98,100
34659789,9:37:39:789,47.98,100
34659789,9:37:39:789,47.98,100
34659789,9:37:39:789,47.98,100
34659789,9:37:39:789,47.98,75
34659790,9:37:39:790,47.97,239
34659790,9:37:39:790,47.97,200
34659790,9:37:39:790,47.97,100
34659790,9:37:39:790,47.97,100
34659790,9:37:39:790,47.97,520
34659790,9:37:39:790,47.97,87
34659791,9:37:39:791,47.97,23
34659791,9:37:39:791,47.97,77
34659791,9:37:39:791,47.97,100
34659791,9:37:39:791,47.97,100
34659792,9:37:39:792,47.96,39
34659792,9:37:39:792,47.96,100
34659797,9:37:39:797,47.97,100
34659808,9:37:39:808,47.97,200
34659808,9:37:39:808,47.97,100
34667431,9:37:47:431,48,100
34667434,9:37:47:434,48,200
34667437,9:37:47:437,48,100
34667439,9:37:47:439,48,300
34667440,9:37:47:440,48,200
34667775,9:37:47:775,48,200
34687310,9:38:7:310,48,42
34687988,9:38:7:988,48,58
