MsOfDay, Time,Price,Size
34201004,9:30:1:4,46.63,8981
34205791,9:30:5:791,46.69,62
34213243,9:30:13:243,46.63,227
34214296,9:30:14:296,46.63,12
34214298,9:30:14:298,46.63,8
34250525,9:30:50:525,46.46,1
34250526,9:30:50:526,46.5,3
34250559,9:30:50:559,46.5,17
34274385,9:31:14:385,46.46,1
34274385,9:31:14:385,46.46,3
34274385,9:31:14:385,46.46,3
34288065,9:31:28:65,46.46,17
34293494,9:31:33:494,46.63,1
34323663,9:32:3:663,46.62,22
34323663,9:32:3:663,46.64,78
34323663,9:32:3:663,46.62,22
34323663,9:32:3:663,46.63,78
34341559,9:32:21:559,46.5,7
34341653,9:32:21:653,46.61,2
34346098,9:32:26:98,46.62,2
34369155,9:32:49:155,46.55,11
34381202,9:33:1:202,46.62,100
34381204,9:33:1:204,46.62,100
34381205,9:33:1:205,46.63,100
34381205,9:33:1:205,46.62,100
34381205,9:33:1:205,46.62,100
34381210,9:33:1:210,46.62,200
34381510,9:33:1:510,46.66,3
34381510,9:33:1:510,46.66,97
34381510,9:33:1:510,46.66,100
34381511,9:33:1:511,46.66,100
34381521,9:33:1:521,46.66,100
34381537,9:33:1:537,46.66,100
34381538,9:33:1:538,46.67,17
34381538,9:33:1:538,46.67,78
34381604,9:33:1:604,46.64,30
34388389,9:33:8:389,46.67,1
34388391,9:33:8:391,46.67,39
34388391,9:33:8:391,46.67,222
34388392,9:33:8:392,46.67,99
34393948,9:33:13:948,46.7,23
34394688,9:33:14:688,46.7,100
34402802,9:33:22:802,46.7,200
34414948,9:33:34:948,46.7,100
34414951,9:33:34:951,46.7,5
34419498,9:33:39:498,46.7,100
34419498,9:33:39:498,46.7,95
34419500,9:33:39:500,46.71,14
34419501,9:33:39:501,46.7,100
34437234,9:33:57:234,46.71,23
34440037,9:34:0:37,46.71,3
34440037,9:34:0:37,46.71,100
34440038,9:34:0:38,46.71,59
34440109,9:34:0:109,46.71,1
34445299,9:34:5:299,46.72,100
34445300,9:34:5:300,46.72,51
34445300,9:34:5:300,46.72,49
34445323,9:34:5:323,46.71,100
34446929,9:34:6:929,46.76,10
34454259,9:34:14:259,46.7,1
34454437,9:34:14:437,46.77,100
34455748,9:34:15:748,46.7,100
34455748,9:34:15:748,46.7,100
34455748,9:34:15:748,46.7,100
34455748,9:34:15:748,46.7,99
34455748,9:34:15:748,46.69,100
34455749,9:34:15:749,46.69,51
34455749,9:34:15:749,46.69,49
34455749,9:34:15:749,46.69,12
34455749,9:34:15:749,46.69,88
34455749,9:34:15:749,46.69,100
34478636,9:34:38:636,46.67,100
34478638,9:34:38:638,46.66,100
34478638,9:34:38:638,46.66,100
34478640,9:34:38:640,46.65,100
34478640,9:34:38:640,46.65,100
34478640,9:34:38:640,46.65,100
34478641,9:34:38:641,46.65,100
34478641,9:34:38:641,46.65,100
34478643,9:34:38:643,46.63,100
34478727,9:34:38:727,46.62,100
34486987,9:34:46:987,46.62,100
34486987,9:34:46:987,46.62,100
34486988,9:34:46:988,46.62,100
34501575,9:35:1:575,46.57,2
34516933,9:35:16:933,46.605,159
34523400,9:35:23:400,46.58,100
34523400,9:35:23:400,46.58,300
34523402,9:35:23:402,46.57,100
34523402,9:35:23:402,46.57,200
34540018,9:35:40:18,46.61,17
34544815,9:35:44:815,46.56,200
34548086,9:35:48:86,46.57,100
34549025,9:35:49:25,46.57,100
34560782,9:36:0:782,46.56,200
34560783,9:36:0:783,46.57,1
34560783,9:36:0:783,46.56,100
34560783,9:36:0:783,46.56,100
34560783,9:36:0:783,46.56,100
34560783,9:36:0:783,46.56,36
34560784,9:36:0:784,46.55,7
34568575,9:36:8:575,46.56,100
34568576,9:36:8:576,46.57,458
34568576,9:36:8:576,46.57,42
34568581,9:36:8:581,46.565,100
34568587,9:36:8:587,46.58,300
34592110,9:36:32:110,46.58,37
34617922,9:36:57:922,46.58,200
34617922,9:36:57:922,46.58,100
34617922,9:36:57:922,46.58,100
34617922,9:36:57:922,46.58,150
34617922,9:36:57:922,46.58,49
34617922,9:36:57:922,46.58,100
34617922,9:36:57:922,46.58,400
34617922,9:36:57:922,46.58,1
34617930,9:36:57:930,46.58,100
34618095,9:36:58:95,46.57,100
34618095,9:36:58:95,46.58,100
34619112,9:36:59:112,46.6,100
34619112,9:36:59:112,46.6,100
34619113,9:36:59:113,46.59,100
34619115,9:36:59:115,46.595,100
34619573,9:36:59:573,46.61,100
34619573,9:36:59:573,46.61,100
34619575,9:36:59:575,46.62,100
34619576,9:36:59:576,46.605,100
34619584,9:36:59:584,46.61,100
34629812,9:37:9:812,46.6,35
34634519,9:37:14:519,46.6,100
34634519,9:37:14:519,46.6,65
34639267,9:37:19:267,46.62,200
34662457,9:37:42:457,46.616,38
34676278,9:37:56:278,46.61,1250
34676280,9:37:56:280,46.61,100
34676281,9:37:56:281,46.61,83
34676296,9:37:56:296,46.62,17
34676327,9:37:56:327,46.61,100
34676362,9:37:56:362,46.61,100
34677355,9:37:57:355,46.6,100
34677355,9:37:57:355,46.6,100
34677355,9:37:57:355,46.6,100
34677356,9:37:57:356,46.6,100
34677356,9:37:57:356,46.6,100
34677356,9:37:57:356,46.6,100
34677361,9:37:57:361,46.59,100
34677373,9:37:57:373,46.59,44
34677373,9:37:57:373,46.59,1
34677373,9:37:57:373,46.59,56
34677380,9:37:57:380,46.59,100
34677516,9:37:57:516,46.59,100
34699953,9:38:19:953,46.57,100
34708037,9:38:28:37,46.56,100
34708039,9:38:28:39,46.57,100
34708159,9:38:28:159,46.57,100
34709405,9:38:29:405,46.58,100
34709405,9:38:29:405,46.58,100
34709413,9:38:29:413,46.59,100
34709414,9:38:29:414,46.6,200
34721140,9:38:41:140,46.6,100
34722163,9:38:42:163,46.629,7
34726742,9:38:46:742,46.62,27
34726745,9:38:46:745,46.6299,27
34728695,9:38:48:695,46.63,100
34728695,9:38:48:695,46.63,100
34728696,9:38:48:696,46.64,100
34737817,9:38:57:817,46.66,173
34737817,9:38:57:817,46.66,100
34737817,9:38:57:817,46.66,100
34737817,9:38:57:817,46.66,27
34737838,9:38:57:838,46.65,100
34741970,9:39:1:970,46.65,100
34751940,9:39:11:940,46.69,100
34751940,9:39:11:940,46.69,100
34751940,9:39:11:940,46.69,100
34751940,9:39:11:940,46.69,100
34751940,9:39:11:940,46.68,49
34751941,9:39:11:941,46.68,77
34751945,9:39:11:945,46.69,200
34752013,9:39:12:13,46.66,90
34752481,9:39:12:481,46.66,100
34752482,9:39:12:482,46.65,100
34752482,9:39:12:482,46.65,100
34752482,9:39:12:482,46.65,50
34752482,9:39:12:482,46.65,150
34752483,9:39:12:483,46.65,100
34752601,9:39:12:601,46.655,300
34754485,9:39:14:485,46.64,100
34754485,9:39:14:485,46.64,100
34760484,9:39:20:484,46.67,100
34760484,9:39:20:484,46.67,100
34760484,9:39:20:484,46.67,100
34760484,9:39:20:484,46.67,100
34768508,9:39:28:508,46.67,1
34769003,9:39:29:3,46.66,100
34769003,9:39:29:3,46.66,100
34770537,9:39:30:537,46.65,100
34770537,9:39:30:537,46.65,200
34770537,9:39:30:537,46.65,100
34776485,9:39:36:485,46.66,100
34776485,9:39:36:485,46.66,100
34780264,9:39:40:264,46.66,100
34782546,9:39:42:546,46.68,100
34782546,9:39:42:546,46.68,100
34782546,9:39:42:546,46.68,100
34782546,9:39:42:546,46.68,100
34782546,9:39:42:546,46.68,100
34782594,9:39:42:594,46.69,77
34782594,9:39:42:594,46.69,100
34782603,9:39:42:603,46.69,100
34782603,9:39:42:603,46.69,23
34807724,9:40:7:724,46.69,100
34807731,9:40:7:731,46.695,100
34808842,9:40:8:842,46.68,100
34808842,9:40:8:842,46.68,100
34808842,9:40:8:842,46.68,100
34830229,9:40:30:229,46.66,5
34859430,9:40:59:430,46.68,100
34859430,9:40:59:430,46.68,100
34859430,9:40:59:430,46.68,100
34859430,9:40:59:430,46.68,100
34859430,9:40:59:430,46.68,100
34859430,9:40:59:430,46.68,100
34859430,9:40:59:430,46.68,100
34859430,9:40:59:430,46.68,100
34875011,9:41:15:11,46.69,100
34875011,9:41:15:11,46.69,100
34881337,9:41:21:337,46.69,50
34881346,9:41:21:346,46.686,1200
34881347,9:41:21:347,46.7,100
34881347,9:41:21:347,46.69,77
34881355,9:41:21:355,46.71,40
34881371,9:41:21:371,46.7,100
34886417,9:41:26:417,46.7,100
34887918,9:41:27:918,46.69,200
34900258,9:41:40:258,46.7,16
34931326,9:42:11:326,46.72,300
34931326,9:42:11:326,46.72,100
34931327,9:42:11:327,46.72,100
34931327,9:42:11:327,46.72,100
34931327,9:42:11:327,46.72,100
34932555,9:42:12:555,46.73,1
34942792,9:42:22:792,46.73,100
34942792,9:42:22:792,46.73,100
34942809,9:42:22:809,46.72,20
34977101,9:42:57:101,46.73,1
34984052,9:43:4:52,46.72,100
34984336,9:43:4:336,46.74,4
34985654,9:43:5:654,46.72,100
34985655,9:43:5:655,46.72,1
34985655,9:43:5:655,46.72,99
34985655,9:43:5:655,46.72,10
34985656,9:43:5:656,46.71,100
34985696,9:43:5:696,46.71,100
34996485,9:43:16:485,46.73,100
34996485,9:43:16:485,46.73,100
34996485,9:43:16:485,46.73,100
34996485,9:43:16:485,46.73,100
34996485,9:43:16:485,46.73,100
34996487,9:43:16:487,46.74,100
34996487,9:43:16:487,46.74,100
34996487,9:43:16:487,46.74,100
34996769,9:43:16:769,46.75,200
34996769,9:43:16:769,46.7499,200
34996771,9:43:16:771,46.75,200
34996771,9:43:16:771,46.75,99
34996771,9:43:16:771,46.75,1
34996771,9:43:16:771,46.75,1
34996782,9:43:16:782,46.7425,106
34996816,9:43:16:816,46.7499,100
34996824,9:43:16:824,46.7499,200
34996889,9:43:16:889,46.73,100
35000420,9:43:20:420,46.77,100
35000425,9:43:20:425,46.77,16
35003403,9:43:23:403,46.8,200
35003403,9:43:23:403,46.8,100
35003403,9:43:23:403,46.8,100
35003403,9:43:23:403,46.8,24
35003403,9:43:23:403,46.8,100
35003403,9:43:23:403,46.8,100
35003403,9:43:23:403,46.8,76
35003403,9:43:23:403,46.8,100
35012006,9:43:32:6,46.77,100
35012006,9:43:32:6,46.77,100
35015149,9:43:35:149,46.76,100
35015149,9:43:35:149,46.76,200
35015149,9:43:35:149,46.76,100
35015307,9:43:35:307,46.74,100
35015307,9:43:35:307,46.74,100
35015307,9:43:35:307,46.74,100
35015307,9:43:35:307,46.74,100
35015316,9:43:35:316,46.745,200
35022178,9:43:42:178,46.73,100
35022178,9:43:42:178,46.73,100
35022178,9:43:42:178,46.73,100
35057783,9:44:17:783,46.77,100
35057783,9:44:17:783,46.77,100
35057783,9:44:17:783,46.76,1
35057783,9:44:17:783,46.77,100
35057783,9:44:17:783,46.77,100
35057783,9:44:17:783,46.77,100
35057783,9:44:17:783,46.77,100
35057784,9:44:17:784,46.77,100
35057784,9:44:17:784,46.75,100
35057784,9:44:17:784,46.77,100
35057784,9:44:17:784,46.77,100
35057784,9:44:17:784,46.77,100
35061093,9:44:21:93,46.78,100
35061614,9:44:21:614,46.75,10
35072011,9:44:32:11,46.74,100
35072011,9:44:32:11,46.74,100
35072012,9:44:32:12,46.75,100
35072014,9:44:32:14,46.75,100
35072039,9:44:32:39,46.71,100
35072039,9:44:32:39,46.71,100
35072039,9:44:32:39,46.75,100
35072039,9:44:32:39,46.75,100
35072039,9:44:32:39,46.75,100
35072070,9:44:32:70,46.75,2989
35080821,9:44:40:821,46.75,100
35090802,9:44:50:802,46.75,100
35091691,9:44:51:691,46.76,100
35091691,9:44:51:691,46.76,100
35092575,9:44:52:575,46.76,100
35092575,9:44:52:575,46.76,100
35101208,9:45:1:208,46.75,43
35101208,9:45:1:208,46.75,19
35101208,9:45:1:208,46.75,57
35101209,9:45:1:209,46.75,19
35101209,9:45:1:209,46.75,100
35101209,9:45:1:209,46.75,57
35101209,9:45:1:209,46.75,81
35101209,9:45:1:209,46.75,24
35101211,9:45:1:211,46.76,100
35110505,9:45:10:505,46.7478,236
35110943,9:45:10:943,46.76,100
35111674,9:45:11:674,46.74,100
35111675,9:45:11:675,46.74,40
35111675,9:45:11:675,46.74,5
35111675,9:45:11:675,46.74,100
35114861,9:45:14:861,46.75,100
35114861,9:45:14:861,46.75,100
35114863,9:45:14:863,46.75,200
35114863,9:45:14:863,46.75,100
35114863,9:45:14:863,46.75,100
35114863,9:45:14:863,46.75,100
