MsOfDay, Time,Price,Size
34200363,9:30:0:363,47.83,200
34200363,9:30:0:363,47.83,200
34201006,9:30:1:6,47.82,138390
34201016,9:30:1:16,47.82,1698
34201054,9:30:1:54,47.91,104
34202134,9:30:2:134,47.63,20
34206668,9:30:6:668,47.82,538
34209012,9:30:9:12,47.57,1
34209563,9:30:9:563,47.57,1
34210210,9:30:10:210,47.82,14
34210299,9:30:10:299,47.8,1
34218419,9:30:18:419,47.59,100
34243220,9:30:43:220,47.59,100
34266221,9:31:6:221,47.63,100
34267325,9:31:7:325,47.7,43
34274868,9:31:14:868,47.78,26
34288220,9:31:28:220,47.63,100
34295976,9:31:35:976,47.69,20
34295976,9:31:35:976,47.69,20
34295977,9:31:35:977,47.69,59
34295977,9:31:35:977,47.69,21
34295978,9:31:35:978,47.69,20
34306420,9:31:46:420,47.64,100
34314222,9:31:54:222,47.64,100
34324181,9:32:4:181,47.77,4
34379217,9:32:59:217,47.77,77
34385047,9:33:5:47,47.77,39
34409113,9:33:29:113,47.693,220
34431059,9:33:51:59,47.77,88
34431060,9:33:51:60,47.77,12
34431283,9:33:51:283,47.76,12
34435499,9:33:55:499,47.69,1
34498711,9:34:58:711,47.74,10
34501070,9:35:1:70,47.7,6
34507848,9:35:7:848,47.71,15
34514590,9:35:14:590,47.76,100
34514590,9:35:14:590,47.77,100
34514590,9:35:14:590,47.77,100
34514590,9:35:14:590,47.78,80
34514590,9:35:14:590,47.78,20
34514590,9:35:14:590,47.78,80
34514591,9:35:14:591,47.78,20
34514591,9:35:14:591,47.78,100
34514591,9:35:14:591,47.78,1
34514591,9:35:14:591,47.77,5
34514591,9:35:14:591,47.77,96
34514591,9:35:14:591,47.77,4
34514592,9:35:14:592,47.78,97
34514592,9:35:14:592,47.78,3
34514592,9:35:14:592,47.78,1
34514592,9:35:14:592,47.78,97
34514592,9:35:14:592,47.78,3
34514592,9:35:14:592,47.78,100
34514592,9:35:14:592,47.77,100
34514592,9:35:14:592,47.79,100
34514592,9:35:14:592,47.77,5
34514592,9:35:14:592,47.79,33
34514592,9:35:14:592,47.79,67
34514593,9:35:14:593,47.78,14
34514595,9:35:14:595,47.78,100
34514595,9:35:14:595,47.78,10
34514595,9:35:14:595,47.78,100
34514714,9:35:14:714,47.7475,100
34515116,9:35:15:116,47.82,100
34528030,9:35:28:30,47.83,100
34539486,9:35:39:486,47.8,120
34551953,9:35:51:953,47.8,100
34551953,9:35:51:953,47.8,100
34551953,9:35:51:953,47.8,100
34551953,9:35:51:953,47.8,100
34551953,9:35:51:953,47.8,100
34551954,9:35:51:954,47.79,100
34551954,9:35:51:954,47.79,100
34551954,9:35:51:954,47.78,100
34552121,9:35:52:121,47.79,100
34552140,9:35:52:140,47.74,1
34556982,9:35:56:982,47.8,52
34557463,9:35:57:463,47.8,100
34557464,9:35:57:464,47.8,48
34570871,9:36:10:871,47.83,100
34572720,9:36:12:720,47.84,100
34574640,9:36:14:640,47.85,100
34579652,9:36:19:652,47.87,100
34579652,9:36:19:652,47.88,100
34579652,9:36:19:652,47.87,100
34579664,9:36:19:664,47.87,100
34579664,9:36:19:664,47.87,100
34579673,9:36:19:673,47.88,10
34579673,9:36:19:673,47.88,90
34580066,9:36:20:66,47.88,10
34580066,9:36:20:66,47.89,90
34580153,9:36:20:153,47.95,52
34588905,9:36:28:905,47.84,13
34639544,9:37:19:544,47.8895,250
34659793,9:37:39:793,47.8939,106
34708250,9:38:28:250,47.86,15
34710223,9:38:30:223,47.909,102
34712172,9:38:32:172,47.93,100
34712175,9:38:32:175,47.89,200
34712175,9:38:32:175,47.91,100
34712183,9:38:32:183,47.92,100
34712783,9:38:32:783,47.909,800
34717199,9:38:37:199,47.86,61
34717200,9:38:37:200,47.86,139
34717200,9:38:37:200,47.86,100
34717271,9:38:37:271,47.85,1
34727243,9:38:47:243,47.89,300
34749105,9:39:9:105,47.86,100
34749109,9:39:9:109,47.865,13
34800066,9:40:0:66,47.87,200
34800086,9:40:0:86,47.87,400
34800124,9:40:0:124,47.86,10
34800229,9:40:0:229,47.87,200
34801132,9:40:1:132,47.87,100
34801395,9:40:1:395,47.87,100
34801395,9:40:1:395,47.87,399
34803506,9:40:3:506,47.875,200
34818967,9:40:18:967,47.86,100
34818967,9:40:18:967,47.86,24
34818967,9:40:18:967,47.86,1
34818967,9:40:18:967,47.86,100
34818967,9:40:18:967,47.86,91
34818968,9:40:18:968,47.85,101
34818969,9:40:18:969,47.87,1
34818970,9:40:18:970,47.84,100
34818971,9:40:18:971,47.84,100
34881004,9:41:21:4,47.79,100
34881005,9:41:21:5,47.79,100
34881019,9:41:21:19,47.74,11
34918159,9:41:58:159,47.77,100
34987366,9:43:7:366,47.755,100
35000018,9:43:20:18,47.73,200
35000019,9:43:20:19,47.72,100
35000019,9:43:20:19,47.72,74
35000019,9:43:20:19,47.72,26
35000024,9:43:20:24,47.71,100
35000026,9:43:20:26,47.71,100
35000419,9:43:20:419,47.69,100
35000422,9:43:20:422,47.69,100
35000763,9:43:20:763,47.71,100
35010045,9:43:30:45,47.72,200
35011762,9:43:31:762,47.72,200
35011772,9:43:31:772,47.7,100
35011772,9:43:31:772,47.7,100
35011772,9:43:31:772,47.7,100
35011772,9:43:31:772,47.7,100
35068341,9:44:28:341,47.69,100
35068341,9:44:28:341,47.69,100
35068341,9:44:28:341,47.69,100
35068341,9:44:28:341,47.69,100
35068341,9:44:28:341,47.7,100
35068342,9:44:28:342,47.68,100
35068343,9:44:28:343,47.68,100
35068344,9:44:28:344,47.68,100
35068346,9:44:28:346,47.73,100
35101169,9:45:1:169,47.6501,62
35111431,9:45:11:431,47.7,100
35111618,9:45:11:618,47.685,3
35134903,9:45:34:903,47.66,100
35139635,9:45:39:635,47.66,39
35139635,9:45:39:635,47.66,61
35139635,9:45:39:635,47.66,100
35139635,9:45:39:635,47.66,35
35139635,9:45:39:635,47.66,300
35139635,9:45:39:635,47.66,100
35139635,9:45:39:635,47.66,100
35139635,9:45:39:635,47.685,13
35139637,9:45:39:637,47.65,100
