MsOfDay, Time,Price,Size
14535811,4:2:15:811,46.9,400
21066942,5:51:6:942,46.76,500
21282959,5:54:42:959,46.8,600
21282959,5:54:42:959,46.8,300
28810333,8:0:10:333,46.82,100
32195967,8:56:35:967,46.85,724
32700019,9:5:0:19,46.81,160
33000011,9:10:0:11,46.81,107
33034722,9:10:34:722,46.81,100
34201006,9:30:1:6,46.93,25266
34201484,9:30:1:484,46.9599,100
34201484,9:30:1:484,46.9599,200
34201494,9:30:1:494,46.957,300
34201503,9:30:1:503,46.957,100
34201596,9:30:1:596,46.92,28
34201831,9:30:1:831,46.95,80
34201835,9:30:1:835,46.9499,110
34201841,9:30:1:841,46.947,300
34201847,9:30:1:847,46.947,200
34202379,9:30:2:379,46.96,20
34203115,9:30:3:115,46.92,100
34203115,9:30:3:115,46.92,100
34203115,9:30:3:115,46.92,100
34203304,9:30:3:304,46.92,100
34203643,9:30:3:643,46.9592,300
34203647,9:30:3:647,46.9592,100
34203650,9:30:3:650,46.95,300
34203653,9:30:3:653,46.95,200
34205903,9:30:5:903,46.88,100
34205903,9:30:5:903,46.88,14
34206199,9:30:6:199,46.85,100
34211738,9:30:11:738,46.93,26
34212302,9:30:12:302,46.96,6
34233918,9:30:33:918,46.93,1
34237779,9:30:37:779,46.92,11
34248844,9:30:48:844,46.8162,100
34249770,9:30:49:770,46.93,1
34253819,9:30:53:819,46.75,53
34253824,9:30:53:824,46.83,11
34253827,9:30:53:827,46.82,38
34255510,9:30:55:510,46.8,53
34274277,9:31:14:277,46.87,200
34283974,9:31:23:974,46.89,100
34283974,9:31:23:974,46.89,50
34283974,9:31:23:974,46.89,100
34283974,9:31:23:974,46.89,50
34284033,9:31:24:33,46.9,100
34284033,9:31:24:33,46.9,100
34284039,9:31:24:39,46.91,53
34284039,9:31:24:39,46.9,100
34284039,9:31:24:39,46.9,100
34284040,9:31:24:40,46.9,300
34284040,9:31:24:40,46.9,300
34284040,9:31:24:40,46.9,100
34284040,9:31:24:40,46.9,100
34320844,9:32:0:844,46.866,300
34330425,9:32:10:425,46.9,1
34334288,9:32:14:288,46.93,100
34334288,9:32:14:288,46.94,100
34334288,9:32:14:288,46.93,200
34334288,9:32:14:288,46.94,100
34334292,9:32:14:292,46.96,99
34334308,9:32:14:308,46.915,100
34368555,9:32:48:555,46.92,400
34376685,9:32:56:685,46.95,100
34385995,9:33:5:995,46.915,100
34388170,9:33:8:170,46.915,100
34407718,9:33:27:718,46.925,100
34419025,9:33:39:25,46.9,100
34419025,9:33:39:25,46.9,100
34419025,9:33:39:25,46.9,267
34419026,9:33:39:26,46.9,100
34419026,9:33:39:26,46.9,20
34419028,9:33:39:28,46.93,20
34419032,9:33:39:32,46.89,15
34419033,9:33:39:33,46.89,100
34419033,9:33:39:33,46.89,85
34419033,9:33:39:33,46.89,100
34419034,9:33:39:34,46.9,200
34419034,9:33:39:34,46.88,31
34419412,9:33:39:412,46.88,69
34419412,9:33:39:412,46.87,131
34419413,9:33:39:413,46.85,100
34419413,9:33:39:413,46.85,100
34419413,9:33:39:413,46.87,100
34419414,9:33:39:414,46.85,100
34419414,9:33:39:414,46.85,100
34423431,9:33:43:431,46.88,100
34423431,9:33:43:431,46.88,100
34423432,9:33:43:432,46.89,200
34423432,9:33:43:432,46.88,100
34429210,9:33:49:210,46.89,100
34431028,9:33:51:28,46.9,9
34437171,9:33:57:171,46.89,100
34442467,9:34:2:467,46.9,300
34442467,9:34:2:467,46.9,91
34443143,9:34:3:143,46.9,300
34443143,9:34:3:143,46.9,300
34443143,9:34:3:143,46.9,100
34443143,9:34:3:143,46.9,300
34443143,9:34:3:143,46.9,91
34455455,9:34:15:455,46.92,100
34460905,9:34:20:905,46.88,3
34464428,9:34:24:428,46.8701,724
34465297,9:34:25:297,46.94,100
34468852,9:34:28:852,46.88,2
34469168,9:34:29:168,46.95,100
34469168,9:34:29:168,46.95,100
34472577,9:34:32:577,46.94,1000
34473725,9:34:33:725,46.88,3
34473726,9:34:33:726,46.88,1
34473726,9:34:33:726,46.88,96
34478362,9:34:38:362,46.94,90
34478691,9:34:38:691,46.95,100
34478692,9:34:38:692,46.95,100
34480440,9:34:40:440,46.95,200
34480440,9:34:40:440,46.95,100
34485754,9:34:45:754,46.96,200
34491077,9:34:51:77,46.96,100
34497175,9:34:57:175,46.93,300
34497180,9:34:57:180,46.93,300
34497330,9:34:57:330,46.93,300
