MsOfDay, Time,Price,Size
31649246,8:47:29:246,47.35,45
34193625,9:29:53:625,47.35,4
34200027,9:30:0:27,47.88,1
34200027,9:30:0:27,47.88,1
34201006,9:30:1:6,47.6,20756
34201010,9:30:1:10,47.6,596
34201047,9:30:1:47,47.7999,4
34201068,9:30:1:68,47.817,100
34205446,9:30:5:446,47.8192,100
34209998,9:30:9:998,47.82,100
34210002,9:30:10:2,47.6,2
34210002,9:30:10:2,47.6,28
34212434,9:30:12:434,47.8,100
34212632,9:30:12:632,47.7899,17
34212634,9:30:12:634,47.8,17
34212635,9:30:12:635,47.8095,17
34214243,9:30:14:243,47.81,1
34216238,9:30:16:238,47.77,5
34221619,9:30:21:619,47.8099,1
34237911,9:30:37:911,47.8099,75
34248524,9:30:48:524,47.66,100
34251170,9:30:51:170,47.66,100
34251170,9:30:51:170,47.66,100
34272097,9:31:12:97,47.665,140
34275210,9:31:15:210,47.7599,71
34281376,9:31:21:376,47.749,22
34281570,9:31:21:570,47.66,100
34281616,9:31:21:616,47.66,100
34282596,9:31:22:596,47.66,100
34288256,9:31:28:256,47.6,1
34303971,9:31:43:971,47.6038,84
34322764,9:32:2:764,47.72,100
34322764,9:32:2:764,47.73,500
34322764,9:32:2:764,47.72,100
34322787,9:32:2:787,47.73,200
34325486,9:32:5:486,47.8199,1
34334993,9:32:14:993,47.8099,6
34338965,9:32:18:965,47.8099,5
34348830,9:32:28:830,47.7,300
34348830,9:32:28:830,47.7,100
34348830,9:32:28:830,47.7,100
34348830,9:32:28:830,47.7,320
34348830,9:32:28:830,47.7,100
34348831,9:32:28:831,47.7,100
34350729,9:32:30:729,47.69,100
34350729,9:32:30:729,47.69,100
34350729,9:32:30:729,47.69,100
34350729,9:32:30:729,47.69,200
34350729,9:32:30:729,47.69,200
34350729,9:32:30:729,47.69,100
34351481,9:32:31:481,47.69,100
34351484,9:32:31:484,47.71,200
34351486,9:32:31:486,47.705,100
34352373,9:32:32:373,47.69,100
34352431,9:32:32:431,47.7092,85
34359616,9:32:39:616,47.705,300
34360352,9:32:40:352,47.69,100
34360356,9:32:40:356,47.7,100
34360358,9:32:40:358,47.7,200
34385238,9:33:5:238,47.69,100
34385238,9:33:5:238,47.69,50
34385238,9:33:5:238,47.7,100
34385238,9:33:5:238,47.7,50
34385238,9:33:5:238,47.69,50
34385238,9:33:5:238,47.7,50
34385238,9:33:5:238,47.69,50
34385238,9:33:5:238,47.69,112
34385238,9:33:5:238,47.69,48
34385239,9:33:5:239,47.69,38
34385239,9:33:5:239,47.69,62
34385239,9:33:5:239,47.69,62
34385244,9:33:5:244,47.71,160
34385248,9:33:5:248,47.69,188
34385982,9:33:5:982,47.69,100
34385984,9:33:5:984,47.69,33
34386369,9:33:6:369,47.67,100
34408732,9:33:28:732,47.64,100
34408733,9:33:28:733,47.64,100
34408733,9:33:28:733,47.65,100
34408739,9:33:28:739,47.59,100
34408739,9:33:28:739,47.59,100
34408745,9:33:28:745,47.64,200
34408749,9:33:28:749,47.6275,600
34408754,9:33:28:754,47.64,600
34408826,9:33:28:826,47.6225,700
34408830,9:33:28:830,47.64,700
34410062,9:33:30:62,47.65,100
34410523,9:33:30:523,47.59,100
34411371,9:33:31:371,47.66,100
34411371,9:33:31:371,47.66,300
34411371,9:33:31:371,47.66,145
34411371,9:33:31:371,47.68,11
34412651,9:33:32:651,47.68,200
34412652,9:33:32:652,47.69,100
34412652,9:33:32:652,47.69,100
34412653,9:33:32:653,47.69,100
34412653,9:33:32:653,47.69,100
34412657,9:33:32:657,47.68,200
