MsOfDay, Time,Price,Size
34200005,9:30:0:5,48.34,12758
34201817,9:30:1:817,48.34,2
34207617,9:30:7:617,48.21,31
34208386,9:30:8:386,48.21,1
34213543,9:30:13:543,48.28,100
34213543,9:30:13:543,48.29,100
34213543,9:30:13:543,48.28,100
34213543,9:30:13:543,48.29,100
34213543,9:30:13:543,48.28,100
34213543,9:30:13:543,48.29,100
34213543,9:30:13:543,48.29,100
34213544,9:30:13:544,48.41,5
34213545,9:30:13:545,48.41,1
34230499,9:30:30:499,48.32,100
34245551,9:30:45:551,48.32,6
34259521,9:30:59:521,48.32,94
34259521,9:30:59:521,48.39,6
34294006,9:31:34:6,48.32,100
34294007,9:31:34:7,48.32,1400
34294007,9:31:34:7,48.32,400
34294026,9:31:34:26,48.39,100
34298569,9:31:38:569,48.4,100
34298569,9:31:38:569,48.4,100
34298569,9:31:38:569,48.4,100
34298569,9:31:38:569,48.41,100
34298570,9:31:38:570,48.41,100
34298571,9:31:38:571,48.42,100
34298571,9:31:38:571,48.4,100
34298571,9:31:38:571,48.42,100
34298580,9:31:38:580,48.41,100
34298580,9:31:38:580,48.42,100
34298581,9:31:38:581,48.42,100
34298581,9:31:38:581,48.43,2
34298599,9:31:38:599,48.44,3
34298599,9:31:38:599,48.43,198
34298600,9:31:38:600,48.45,100
34298601,9:31:38:601,48.43,100
34306045,9:31:46:45,48.48,100
34306045,9:31:46:45,48.48,100
34306086,9:31:46:86,48.48,100
34306086,9:31:46:86,48.48,100
34306096,9:31:46:96,48.49,100
34306097,9:31:46:97,48.49,14
34306097,9:31:46:97,48.49,56
34306098,9:31:46:98,48.49,30
34306139,9:31:46:139,48.49,70
34306139,9:31:46:139,48.5,230
34310847,9:31:50:847,48.35,2
34317040,9:31:57:40,48.5,254
34317040,9:31:57:40,48.48,2
34317040,9:31:57:40,48.5,498
34317040,9:31:57:40,48.5,500
34317040,9:31:57:40,48.5,2
34317067,9:31:57:67,48.52,100
34317091,9:31:57:91,48.52,147
34317091,9:31:57:91,48.52,100
34317091,9:31:57:91,48.52,100
34317091,9:31:57:91,48.52,53
34317091,9:31:57:91,48.54,50
34317091,9:31:57:91,48.52,100
34317091,9:31:57:91,48.52,100
34317091,9:31:57:91,48.51,44
34317092,9:31:57:92,48.51,100
34317092,9:31:57:92,48.54,2
34317092,9:31:57:92,48.54,100
34317094,9:31:57:94,48.54,100
34367280,9:32:47:280,48.55,5
34402292,9:33:22:292,48.43,333
34429813,9:33:49:813,48.38,100
34443175,9:34:3:175,48.44,100
34443175,9:34:3:175,48.44,100
34443175,9:34:3:175,48.44,100
34443175,9:34:3:175,48.44,100
34455985,9:34:15:985,48.43,100
34456333,9:34:16:333,48.43,130
34456343,9:34:16:343,48.51,900
34456344,9:34:16:344,48.51,100
34456346,9:34:16:346,48.51,20
34456351,9:34:16:351,48.5,1
34456352,9:34:16:352,48.51,1
34505090,9:35:5:90,48.44,2
34505090,9:35:5:90,48.43,179
34505090,9:35:5:90,48.43,121
34505090,9:35:5:90,48.44,2
34505090,9:35:5:90,48.43,54
34505090,9:35:5:90,48.43,46
34505092,9:35:5:92,48.45,2
34505092,9:35:5:92,48.46,98
34505097,9:35:5:97,48.43,200
34505129,9:35:5:129,48.43,100
34505647,9:35:5:647,48.47,91
34516593,9:35:16:593,48.47,100
34516593,9:35:16:593,48.47,100
34537617,9:35:37:617,48.46,3
34558827,9:35:58:827,48.48,100
34558827,9:35:58:827,48.48,147
34558827,9:35:58:827,48.48,53
34558827,9:35:58:827,48.48,100
34558829,9:35:58:829,48.49,100
34558829,9:35:58:829,48.49,100
34558829,9:35:58:829,48.46,100
34558837,9:35:58:837,48.52,200
34563371,9:36:3:371,48.52,300
34563371,9:36:3:371,48.52,9
34573244,9:36:13:244,48.5,100
34573245,9:36:13:245,48.5,50
34581540,9:36:21:540,48.51,100
34581541,9:36:21:541,48.51,1
34581541,9:36:21:541,48.51,100
34581541,9:36:21:541,48.5,100
34581542,9:36:21:542,48.5,100
34581542,9:36:21:542,48.5,99
34584897,9:36:24:897,48.48,52
34584930,9:36:24:930,48.5,1
34586546,9:36:26:546,48.5,100
34635065,9:37:15:65,48.46,100
34635065,9:37:15:65,48.44,100
34635065,9:37:15:65,48.44,100
34635065,9:37:15:65,48.46,100
34635065,9:37:15:65,48.46,100
34635065,9:37:15:65,48.46,100
34635065,9:37:15:65,48.44,100
34635065,9:37:15:65,48.44,100
34635065,9:37:15:65,48.44,100
34635065,9:37:15:65,48.46,100
34635065,9:37:15:65,48.44,500
34635065,9:37:15:65,48.45,91
34635065,9:37:15:65,48.44,100
34635066,9:37:15:66,48.44,100
34635066,9:37:15:66,48.44,91
34635067,9:37:15:67,48.44,100
34635067,9:37:15:67,48.44,100
34635067,9:37:15:67,48.44,100
34635068,9:37:15:68,48.44,100
34635068,9:37:15:68,48.44,100
34635076,9:37:15:76,48.43,110
34635076,9:37:15:76,48.44,101
34635192,9:37:15:192,48.44,100
34635193,9:37:15:193,48.43,190
34635193,9:37:15:193,48.43,100
34635193,9:37:15:193,48.43,100
34636085,9:37:16:85,48.44,100
34636085,9:37:16:85,48.44,100
34636086,9:37:16:86,48.45,100
34636086,9:37:16:86,48.45,100
34636086,9:37:16:86,48.45,100
34637085,9:37:17:85,48.46,200
34637086,9:37:17:86,48.46,100
34651165,9:37:31:165,48.43,300
34651776,9:37:31:776,48.46,100
34677190,9:37:57:190,48.4372,600
34677191,9:37:57:191,48.47,200
34677191,9:37:57:191,48.47,100
34677191,9:37:57:191,48.47,1
34704053,9:38:24:53,48.38,100
34704054,9:38:24:54,48.38,300
34704054,9:38:24:54,48.38,100
34704055,9:38:24:55,48.38,100
34704056,9:38:24:56,48.38,500
34704056,9:38:24:56,48.38,300
34704056,9:38:24:56,48.38,100
34704064,9:38:24:64,48.38,100
34704064,9:38:24:64,48.38,200
34704085,9:38:24:85,48.38,400
34704105,9:38:24:105,48.38,100
34704123,9:38:24:123,48.38,400
34704160,9:38:24:160,48.38,300
34704224,9:38:24:224,48.38,100
34705026,9:38:25:26,48.38,200
34705029,9:38:25:29,48.38,300
34706459,9:38:26:459,48.38,200
34706462,9:38:26:462,48.38,200
34706467,9:38:26:467,48.38,100
34707025,9:38:27:25,48.38,100
34707030,9:38:27:30,48.38,200
34707061,9:38:27:61,48.38,100
34707064,9:38:27:64,48.38,200
34707096,9:38:27:96,48.38,100
34707102,9:38:27:102,48.38,100
34708025,9:38:28:25,48.38,100
34708030,9:38:28:30,48.38,100
34708064,9:38:28:64,48.38,100
34708099,9:38:28:99,48.38,100
34708134,9:38:28:134,48.38,100
34708169,9:38:28:169,48.38,100
34708205,9:38:28:205,48.38,100
34710074,9:38:30:74,48.38,100
34711018,9:38:31:18,48.38,200
34711019,9:38:31:19,48.38,100
34711043,9:38:31:43,48.38,100
34718575,9:38:38:575,48.35,100
34720337,9:38:40:337,48.37,100
34720337,9:38:40:337,48.39,200
34720337,9:38:40:337,48.39,100
34720337,9:38:40:337,48.37,100
34723639,9:38:43:639,48.349,100
34723640,9:38:43:640,48.34,100
34723650,9:38:43:650,48.349,100
34723792,9:38:43:792,48.335,100
34728927,9:38:48:927,48.33,200
34740444,9:39:0:444,48.34,100
34740446,9:39:0:446,48.34,100
34742224,9:39:2:224,48.31,100
34748291,9:39:8:291,48.28,100
34748296,9:39:8:296,48.28,100
34748299,9:39:8:299,48.28,100
34748301,9:39:8:301,48.28,200
34748307,9:39:8:307,48.28,100
34748307,9:39:8:307,48.28,200
34748321,9:39:8:321,48.28,100
34748349,9:39:8:349,48.27,9
34748396,9:39:8:396,48.28,100
34752081,9:39:12:81,48.26,100
34752081,9:39:12:81,48.26,100
34752081,9:39:12:81,48.26,100
34753490,9:39:13:490,48.19,13
34757120,9:39:17:120,48.25,99
34763619,9:39:23:619,48.19,36
34765496,9:39:25:496,48.24,1
34765496,9:39:25:496,48.25,99
34766673,9:39:26:673,48.32,15000
34766674,9:39:26:674,48.24,99
34766674,9:39:26:674,48.24,101
34766674,9:39:26:674,48.25,99
34766675,9:39:26:675,48.25,1
34766675,9:39:26:675,48.25,1
34766677,9:39:26:677,48.26,200
34766677,9:39:26:677,48.26,100
34766679,9:39:26:679,48.27,51
34766679,9:39:26:679,48.27,249
34768401,9:39:28:401,48.23,100
34787035,9:39:47:35,48.32,100
34787035,9:39:47:35,48.34,100
34787036,9:39:47:36,48.33,100
34787036,9:39:47:36,48.34,100
34800019,9:40:0:19,48.34,100
34800019,9:40:0:19,48.34,1
34800019,9:40:0:19,48.34,200
34800019,9:40:0:19,48.34,100
34800020,9:40:0:20,48.34,100
34800020,9:40:0:20,48.34,100
34800022,9:40:0:22,48.34,100
34800022,9:40:0:22,48.34,100
34800022,9:40:0:22,48.34,100
34800022,9:40:0:22,48.34,100
34800022,9:40:0:22,48.34,100
34800071,9:40:0:71,48.35,100
34800102,9:40:0:102,48.35,100
34800104,9:40:0:104,48.35,100
34812081,9:40:12:81,48.36,200
34812082,9:40:12:82,48.35,200
34812088,9:40:12:88,48.36,100
34812094,9:40:12:94,48.35,100
34837569,9:40:37:569,48.31,200
34837574,9:40:37:574,48.31,100
34871872,9:41:11:872,48.29,100
34871876,9:41:11:876,48.29,100
34871876,9:41:11:876,48.29,300
34871880,9:41:11:880,48.29,200
34871881,9:41:11:881,48.29,100
34871885,9:41:11:885,48.29,100
34871889,9:41:11:889,48.29,100
34871910,9:41:11:910,48.29,100
34871913,9:41:11:913,48.29,100
34871947,9:41:11:947,48.29,100
34871986,9:41:11:986,48.29,100
34872019,9:41:12:19,48.29,100
34872019,9:41:12:19,48.29,100
34872054,9:41:12:54,48.29,100
34872054,9:41:12:54,48.29,100
34872054,9:41:12:54,48.29,100
34872054,9:41:12:54,48.29,60
34872054,9:41:12:54,48.29,100
34878463,9:41:18:463,48.28,60
34878463,9:41:18:463,48.28,100
34878464,9:41:18:464,48.28,60
34878464,9:41:18:464,48.28,140
34878464,9:41:18:464,48.28,40
34878464,9:41:18:464,48.28,100
34878464,9:41:18:464,48.28,100
34892865,9:41:32:865,48.28,100
34895587,9:41:35:587,48.28,100
34895588,9:41:35:588,48.28,100
34895589,9:41:35:589,48.28,300
34895590,9:41:35:590,48.28,200
34895598,9:41:35:598,48.28,200
34895704,9:41:35:704,48.28,100
34895706,9:41:35:706,48.28,100
34895710,9:41:35:710,48.28,100
34895711,9:41:35:711,48.28,100
34895713,9:41:35:713,48.28,100
34895816,9:41:35:816,48.28,100
34895840,9:41:35:840,48.28,100
34895858,9:41:35:858,48.28,100
34896180,9:41:36:180,48.28,100
34896184,9:41:36:184,48.28,100
34896185,9:41:36:185,48.28,200
34896188,9:41:36:188,48.28,100
34896189,9:41:36:189,48.28,100
34896287,9:41:36:287,48.28,100
34896371,9:41:36:371,48.28,100
34903329,9:41:43:329,48.32,13
34904804,9:41:44:804,48.3294,150
34909399,9:41:49:399,48.27,6
34909399,9:41:49:399,48.27,94
34909400,9:41:49:400,48.27,200
34909402,9:41:49:402,48.27,100
34917955,9:41:57:955,48.29,24
34918181,9:41:58:181,48.3,6
34943669,9:42:23:669,48.3,100
34943699,9:42:23:699,48.3,100
34943773,9:42:23:773,48.3,100
34943778,9:42:23:778,48.3,400
34943779,9:42:23:779,48.3,600
34943887,9:42:23:887,48.3,200
34946399,9:42:26:399,48.33,5
34955044,9:42:35:44,48.28,99
34958008,9:42:38:8,48.27,100
34958682,9:42:38:682,48.27,100
34958682,9:42:38:682,48.27,176
34962612,9:42:42:612,48.29,100
34962612,9:42:42:612,48.27,400
34962612,9:42:42:612,48.27,400
34962612,9:42:42:612,48.27,500
34962613,9:42:42:613,48.27,500
34963554,9:42:43:554,48.26,100
34964786,9:42:44:786,48.23,50
34964786,9:42:44:786,48.22,50
34964786,9:42:44:786,48.23,100
34964787,9:42:44:787,48.23,200
34964792,9:42:44:792,48.21,100
34964792,9:42:44:792,48.21,100
34964792,9:42:44:792,48.21,81
34964799,9:42:44:799,48.21,12
34964883,9:42:44:883,48.23,100
34965624,9:42:45:624,48.17,100
34966774,9:42:46:774,48.16,100
34967200,9:42:47:200,48.1885,800
34968908,9:42:48:908,48.17,100
34970550,9:42:50:550,48.15,100
34974652,9:42:54:652,48.14,100
34993942,9:43:13:942,48.19,6
34993943,9:43:13:943,48.19,150
34993943,9:43:13:943,48.19,44
34993944,9:43:13:944,48.2,100
34996404,9:43:16:404,48.21,100
34996405,9:43:16:405,48.21,1
34996405,9:43:16:405,48.21,95
34996405,9:43:16:405,48.21,400
34996982,9:43:16:982,48.24,100
34996982,9:43:16:982,48.24,100
35004628,9:43:24:628,48.225,100
35015995,9:43:35:995,48.24,200
35015995,9:43:35:995,48.24,300
35015996,9:43:35:996,48.24,100
35023551,9:43:43:551,48.24,4
35046092,9:44:6:92,48.22,1
35046093,9:44:6:93,48.21,100
35046094,9:44:6:94,48.21,96
35046094,9:44:6:94,48.21,104
35046097,9:44:6:97,48.225,100
35046103,9:44:6:103,48.21,400
35048090,9:44:8:90,48.21,95
35057941,9:44:17:941,48.21,100
35061061,9:44:21:61,48.21,49
