MsOfDay, Time,Price,Size
33411960,9:16:51:960,47.1,8
33457453,9:17:37:453,47.1,1
33815215,9:23:35:215,47.1,980
34005206,9:26:45:206,47.1,1
34195200,9:29:55:200,47.1,1
34201006,9:30:1:6,47.05,15714
34204635,9:30:4:635,47.06,75
34206183,9:30:6:183,47.07,100
34212063,9:30:12:63,47.05,71
34218592,9:30:18:592,47,100
34218592,9:30:18:592,47.01,50
34218592,9:30:18:592,47.01,50
34218592,9:30:18:592,47.01,50
34218592,9:30:18:592,47,100
34218592,9:30:18:592,47.01,100
34218592,9:30:18:592,47,100
34218592,9:30:18:592,47,50
34243216,9:30:43:216,47.022,8
34256238,9:30:56:238,46.93,100
34258040,9:30:58:40,46.92,25
34261153,9:31:1:153,46.977,13
34307126,9:31:47:126,47.05,1
34336247,9:32:16:247,47.05,2
34354195,9:32:34:195,47.05,1
34354547,9:32:34:547,47.06,1
34354737,9:32:34:737,47.06,1
34359117,9:32:39:117,46.94,5
34390262,9:33:10:262,46.96,57
34392240,9:33:12:240,47.03,2
34393420,9:33:13:420,46.94,100
34403136,9:33:23:136,46.95,100
34422487,9:33:42:487,47.0235,21
34434211,9:33:54:211,47.01,100
34491982,9:34:51:982,47,628
34492000,9:34:52:0,46.98,200
34505162,9:35:5:162,47.02,100
34505162,9:35:5:162,47.01,3
34505162,9:35:5:162,47.02,97
34505162,9:35:5:162,47.01,3
34505162,9:35:5:162,47.02,3
34505162,9:35:5:162,47.01,3
34505162,9:35:5:162,47.01,3
34505162,9:35:5:162,47.02,97
34505162,9:35:5:162,47.02,3
34505162,9:35:5:162,47.02,20
34505162,9:35:5:162,47.01,3
34505162,9:35:5:162,47,100
34505162,9:35:5:162,47.02,100
34505162,9:35:5:162,47.02,100
34505162,9:35:5:162,47.03,50
34505162,9:35:5:162,47.02,100
34505164,9:35:5:164,47.03,50
34505164,9:35:5:164,47.03,49
34505329,9:35:5:329,47.04,100
34505522,9:35:5:522,47.07,9
34505522,9:35:5:522,47.07,300
34505523,9:35:5:523,47.07,67
34513831,9:35:13:831,47.03,100
34517306,9:35:17:306,47.03,100
34517318,9:35:17:318,47.03,100
34561700,9:36:1:700,47.055,100
34583953,9:36:23:953,47.04,100
34584276,9:36:24:276,47.03,100
34584276,9:36:24:276,47.03,100
34591008,9:36:31:8,46.99,100
34591010,9:36:31:10,46.98,1
34600905,9:36:40:905,46.94,100
34600916,9:36:40:916,46.94,100
34639425,9:37:19:425,46.99,100
34656306,9:37:36:306,46.98,1
34664483,9:37:44:483,46.98,49
34664483,9:37:44:483,46.98,51
34668443,9:37:48:443,46.97,100
34681573,9:38:1:573,46.98,2
34682111,9:38:2:111,46.98,25
34682716,9:38:2:716,46.98,1
34682799,9:38:2:799,46.98,7
34683895,9:38:3:895,46.972,550
34683898,9:38:3:898,46.95,100
34710135,9:38:30:135,46.9754,23
34720653,9:38:40:653,46.96,45
34720653,9:38:40:653,46.96,100
34720659,9:38:40:659,46.95,48
34720661,9:38:40:661,46.95,100
34720668,9:38:40:668,46.95,100
34722577,9:38:42:577,46.96,100
34722600,9:38:42:600,46.95,100
34722611,9:38:42:611,46.95,100
34725305,9:38:45:305,46.95,100
34726028,9:38:46:28,46.95,100
34728542,9:38:48:542,46.94,100
34740176,9:39:0:176,46.955,200
34743406,9:39:3:406,46.94,100
34743407,9:39:3:407,46.94,100
34743407,9:39:3:407,46.94,1
34743407,9:39:3:407,46.94,99
34743407,9:39:3:407,46.94,101
34743408,9:39:3:408,46.94,24
34743421,9:39:3:421,46.94,100
34743429,9:39:3:429,46.93,200
34743430,9:39:3:430,46.93,100
34743430,9:39:3:430,46.93,25
34743430,9:39:3:430,46.93,75
34743432,9:39:3:432,46.93,200
34743438,9:39:3:438,46.93,100
34754305,9:39:14:305,46.9,100
34780301,9:39:40:301,46.9,45
34780301,9:39:40:301,46.89,55
34780519,9:39:40:519,46.89,100
34784186,9:39:44:186,46.9,100
34784186,9:39:44:186,46.91,6
34784220,9:39:44:220,46.9,100
34800029,9:40:0:29,46.91,100
34811780,9:40:11:780,46.9,51
34811780,9:40:11:780,46.9,49
34812683,9:40:12:683,46.92,100
34814992,9:40:14:992,46.92,200
34814992,9:40:14:992,46.92,100
34814992,9:40:14:992,46.92,100
34814992,9:40:14:992,46.92,29
34814993,9:40:14:993,46.91,100
34814993,9:40:14:993,46.91,25
34814995,9:40:14:995,46.91,75
34814995,9:40:14:995,46.91,100
34814995,9:40:14:995,46.905,100
34814996,9:40:14:996,46.905,100
34814996,9:40:14:996,46.905,100
34814999,9:40:14:999,46.91,100
34815013,9:40:15:13,46.91,100
34816859,9:40:16:859,46.92,100
34816859,9:40:16:859,46.92,100
34816874,9:40:16:874,46.92,100
34816886,9:40:16:886,46.92,96
34816886,9:40:16:886,46.92,4
34816886,9:40:16:886,46.92,100
34818076,9:40:18:76,46.91,100
34818940,9:40:18:940,46.91,200
34834281,9:40:34:281,46.91,100
34834281,9:40:34:281,46.91,100
34834281,9:40:34:281,46.91,100
34834284,9:40:34:284,46.9,100
34835638,9:40:35:638,46.91,15
34837909,9:40:37:909,46.8901,7
34841673,9:40:41:673,46.91,78
34841673,9:40:41:673,46.91,22
34841673,9:40:41:673,46.91,29
34841673,9:40:41:673,46.91,71
34841673,9:40:41:673,46.9,200
34841676,9:40:41:676,46.9,150
34841676,9:40:41:676,46.91,4
34841679,9:40:41:679,46.9,100
34846892,9:40:46:892,46.91,200
34847064,9:40:47:64,46.91,22
34847065,9:40:47:65,46.91,74
34855724,9:40:55:724,46.93,100
34855724,9:40:55:724,46.93,100
34855724,9:40:55:724,46.93,100
34855726,9:40:55:726,46.915,100
34860772,9:41:0:772,46.91,12
34860774,9:41:0:774,46.92,1
34862601,9:41:2:601,46.915,100
34865301,9:41:5:301,46.92,100
34865305,9:41:5:305,46.92,100
34865305,9:41:5:305,46.92,100
34865306,9:41:5:306,46.92,100
34879232,9:41:19:232,46.92,100
34879233,9:41:19:233,46.92,100
34883523,9:41:23:523,46.91,6
34883527,9:41:23:527,46.9,100
34884306,9:41:24:306,46.89,100
34884306,9:41:24:306,46.89,100
34884306,9:41:24:306,46.89,100
34884306,9:41:24:306,46.89,45
