MsOfDay, Time,Price,Size
34483276,9:34:43:276,48.06,100
34483276,9:34:43:276,48.06,100
34485784,9:34:45:784,48.07,100
34485795,9:34:45:795,48.07,100
34485795,9:34:45:795,48.07,100
34485795,9:34:45:795,48.07,100
34486583,9:34:46:583,48.07,100
34486583,9:34:46:583,48.07,100
34486583,9:34:46:583,48.07,100
34486583,9:34:46:583,48.07,100
34486584,9:34:46:584,48.06,100
34486584,9:34:46:584,48.06,100
34486589,9:34:46:589,48.06,300
34488493,9:34:48:493,48.05,100
34489786,9:34:49:786,48.05,100
34489951,9:34:49:951,48.05,100
34499665,9:34:59:665,48.06,200
34499666,9:34:59:666,48.07,8
34499666,9:34:59:666,48.07,100
34499666,9:34:59:666,48.06,100
34501053,9:35:1:53,48.08,200
34501054,9:35:1:54,48.08,100
34501054,9:35:1:54,48.08,100
34501054,9:35:1:54,48.08,300
34504561,9:35:4:561,48.08,100
34504561,9:35:4:561,48.08,100
34504583,9:35:4:583,48.08,100
34506708,9:35:6:708,48.08,100
34506750,9:35:6:750,48.08,100
34506750,9:35:6:750,48.08,100
34506751,9:35:6:751,48.08,100
34506751,9:35:6:751,48.08,100
34508652,9:35:8:652,48.08,100
34508652,9:35:8:652,48.08,100
34508653,9:35:8:653,48.08,100
34508653,9:35:8:653,48.08,100
34508653,9:35:8:653,48.08,100
34508653,9:35:8:653,48.08,100
34508653,9:35:8:653,48.08,100
34508654,9:35:8:654,48.08,100
34508655,9:35:8:655,48.08,100
34508662,9:35:8:662,48.08,100
34510702,9:35:10:702,48.08,200
34512043,9:35:12:43,48.075,300
34512057,9:35:12:57,48.075,100
34512151,9:35:12:151,48.075,100
34513571,9:35:13:571,48.08,100
34513571,9:35:13:571,48.08,200
34513937,9:35:13:937,48.08,100
34515232,9:35:15:232,48.09,100
34515232,9:35:15:232,48.09,100
34519382,9:35:19:382,48.09,200
34519382,9:35:19:382,48.09,100
34520717,9:35:20:717,48.09,300
34520731,9:35:20:731,48.09,100
34520886,9:35:20:886,48.09,400
34520916,9:35:20:916,48.09,100
34522702,9:35:22:702,48.0801,200
34522714,9:35:22:714,48.09,200
34522757,9:35:22:757,48.09,200
34522760,9:35:22:760,48.09,100
34522774,9:35:22:774,48.09,200
34522775,9:35:22:775,48.1,221
34522775,9:35:22:775,48.1,100
34523210,9:35:23:210,48.09,200
34523357,9:35:23:357,48.095,100
34523362,9:35:23:362,48.0807,100
34523430,9:35:23:430,48.095,100
34523434,9:35:23:434,48.0807,100
34523459,9:35:23:459,48.095,100
34523464,9:35:23:464,48.0807,100
34523529,9:35:23:529,48.095,100
34523533,9:35:23:533,48.0807,100
34523570,9:35:23:570,48.095,200
34523574,9:35:23:574,48.0807,200
34523904,9:35:23:904,48.095,300
34523932,9:35:23:932,48.095,200
34524002,9:35:24:2,48.095,200
34525076,9:35:25:76,48.08,200
34525078,9:35:25:78,48.08,200
34525079,9:35:25:79,48.08,100
34525082,9:35:25:82,48.08,200
34527611,9:35:27:611,48.11,100
34559390,9:35:59:390,48.06,100
34559390,9:35:59:390,48.06,100
34559391,9:35:59:391,48.06,100
34559392,9:35:59:392,48.04,100
34559392,9:35:59:392,48.06,40
34559393,9:35:59:393,48.06,100
34559393,9:35:59:393,48.06,100
34559394,9:35:59:394,48.05,100
34559394,9:35:59:394,48.05,100
34559399,9:35:59:399,48.05,200
34561384,9:36:1:384,48.06,200
34561403,9:36:1:403,48.04,21
34561403,9:36:1:403,48.04,78
34561403,9:36:1:403,48.06,60
34561403,9:36:1:403,48.04,1
34561405,9:36:1:405,48.05,121
34562601,9:36:2:601,48.05,100
34563177,9:36:3:177,48.045,100
34564248,9:36:4:248,48.05,200
34564248,9:36:4:248,48.05,100
34564248,9:36:4:248,48.03,21
34564249,9:36:4:249,48.03,100
34564249,9:36:4:249,48.03,79
34564506,9:36:4:506,48.04,100
34565076,9:36:5:76,48.04,100
34566462,9:36:6:462,48.04,100
34567038,9:36:7:38,48.04,100
34568154,9:36:8:154,48.04,300
34571504,9:36:11:504,48.035,100
34573182,9:36:13:182,48.05,100
34573361,9:36:13:361,48.05,100
34573997,9:36:13:997,48.04,100
34573997,9:36:13:997,48.04,100
34574000,9:36:14:0,48.04,100
34574003,9:36:14:3,48.04,100
34574298,9:36:14:298,48.05,100
34574364,9:36:14:364,48.05,800
34574364,9:36:14:364,48.05,100
34574364,9:36:14:364,48.05,100
34574364,9:36:14:364,48.05,100
34575177,9:36:15:177,48.05,100
34576919,9:36:16:919,48.05,300
34576919,9:36:16:919,48.05,198
34576919,9:36:16:919,48.05,2
34576919,9:36:16:919,48.04,75
34576919,9:36:16:919,48.04,5
34576919,9:36:16:919,48.04,198
34576953,9:36:16:953,48.055,100
34577056,9:36:17:56,48.05,100
34577600,9:36:17:600,48.05,100
34577600,9:36:17:600,48.05,100
34577600,9:36:17:600,48.05,100
34577604,9:36:17:604,48.06,100
34577604,9:36:17:604,48.06,200
34583806,9:36:23:806,48.07,300
34583806,9:36:23:806,48.07,200
34585045,9:36:25:45,48.07,200
34585049,9:36:25:49,48.0675,200
34585724,9:36:25:724,48.07,100
34585726,9:36:25:726,48.08,150
34588869,9:36:28:869,48.08,48
34588869,9:36:28:869,48.08,100
34588869,9:36:28:869,48.08,100
34588910,9:36:28:910,48.08,20
34592088,9:36:32:88,48.075,100
34592153,9:36:32:153,48.07,100
34593454,9:36:33:454,48.08,200
34593460,9:36:33:460,48.08,100
34593469,9:36:33:469,48.08,100
34593469,9:36:33:469,48.08,10
34594560,9:36:34:560,48.075,400
34594562,9:36:34:562,48.075,300
34594569,9:36:34:569,48.075,400
34595696,9:36:35:696,48.075,200
34595700,9:36:35:700,48.075,100
34595701,9:36:35:701,48.075,200
34595701,9:36:35:701,48.075,200
34595708,9:36:35:708,48.075,200
34595717,9:36:35:717,48.075,200
34595723,9:36:35:723,48.075,100
34595815,9:36:35:815,48.075,100
34595904,9:36:35:904,48.075,100
34597860,9:36:37:860,48.075,200
34597864,9:36:37:864,48.075,100
34597864,9:36:37:864,48.075,100
34600831,9:36:40:831,48.07,848
34625671,9:37:5:671,48.055,1500
34635108,9:37:15:108,48.04,100
34635111,9:37:15:111,48.04,100
34635114,9:37:15:114,48.05,100
34635115,9:37:15:115,48.04,100
34639191,9:37:19:191,48.06,29
34644985,9:37:24:985,48.05,100
34646932,9:37:26:932,48.05,100
34648020,9:37:28:20,48.04,100
34648020,9:37:28:20,48.04,101
34648032,9:37:28:32,48.04,100
34648033,9:37:28:33,48.04,100
34648035,9:37:28:35,48.04,200
34650030,9:37:30:30,48.04,100
34651743,9:37:31:743,48.04,100
34653255,9:37:33:255,48.03,200
34653255,9:37:33:255,48.03,100
34653255,9:37:33:255,48.03,100
34653255,9:37:33:255,48.03,100
34653255,9:37:33:255,48.03,100
34653255,9:37:33:255,48.03,100
34653256,9:37:33:256,48.03,100
34653870,9:37:33:870,48.03,100
34655008,9:37:35:8,48.03,100
34655782,9:37:35:782,48.03,100
34655782,9:37:35:782,48.03,100
34655782,9:37:35:782,48.03,200
34655782,9:37:35:782,48.03,100
34655786,9:37:35:786,48.04,100
34655786,9:37:35:786,48.04,100
34655786,9:37:35:786,48.04,300
34655788,9:37:35:788,48.04,100
34657086,9:37:37:86,48.05,100
34658343,9:37:38:343,48.05,100
34658344,9:37:38:344,48.05,200
34658528,9:37:38:528,48.06,300
34663193,9:37:43:193,48.06,100
34663458,9:37:43:458,48.06,100
34665506,9:37:45:506,48.07,100
34665506,9:37:45:506,48.07,100
34665507,9:37:45:507,48.06,100
34666312,9:37:46:312,48.06,200
34666947,9:37:46:947,48.06,300
34667278,9:37:47:278,48.07,100
34667278,9:37:47:278,48.07,100
34670826,9:37:50:826,48.07,50
34670827,9:37:50:827,48.07,50
34671648,9:37:51:648,48.07,100
34677138,9:37:57:138,48.07,100
34677688,9:37:57:688,48.07,2100
34678168,9:37:58:168,48.07,800
34679810,9:37:59:810,48.07,100
34693643,9:38:13:643,48.04,100
34693644,9:38:13:644,48.03,400
34693654,9:38:13:654,48.04,100
34693666,9:38:13:666,48.01,100
34693667,9:38:13:667,48.01,100
34693667,9:38:13:667,48.01,100
34697603,9:38:17:603,47.99,817
34697604,9:38:17:604,47.99,100
34697604,9:38:17:604,47.98,100
34697607,9:38:17:607,47.98,100
34697608,9:38:17:608,47.99,79
34697609,9:38:17:609,47.98,200
34697610,9:38:17:610,47.98,200
34697614,9:38:17:614,47.99,100
34697651,9:38:17:651,47.99,100
34697651,9:38:17:651,47.99,100
34697651,9:38:17:651,47.99,300
34697985,9:38:17:985,47.99,300
34700102,9:38:20:102,47.98,100
34700102,9:38:20:102,47.99,100
34700102,9:38:20:102,47.99,100
34700102,9:38:20:102,47.98,100
34700102,9:38:20:102,47.98,100
34700103,9:38:20:103,47.98,100
34700107,9:38:20:107,47.98,100
34700107,9:38:20:107,47.98,10
34700123,9:38:20:123,47.99,100
34700123,9:38:20:123,47.99,100
34700123,9:38:20:123,47.99,100
34701123,9:38:21:123,47.99,100
34702741,9:38:22:741,48.01,200
34705640,9:38:25:640,48.02,100
34705640,9:38:25:640,48.01,46
34705640,9:38:25:640,48.02,100
34705642,9:38:25:642,48.01,46
34705879,9:38:25:879,48.03,100
34705879,9:38:25:879,48.03,100
34705879,9:38:25:879,48.03,100
34705879,9:38:25:879,48.03,100
34705880,9:38:25:880,48.03,100
34705958,9:38:25:958,48.02,100
34709966,9:38:29:966,48.015,100
34709966,9:38:29:966,48.015,100
34709970,9:38:29:970,48.0198,100
34709970,9:38:29:970,48.0198,100
34710099,9:38:30:99,48.015,100
34710103,9:38:30:103,48.0198,100
34712246,9:38:32:246,48.04,100
34728110,9:38:48:110,48.04,100
34728110,9:38:48:110,48.04,100
34728110,9:38:48:110,48.04,200
34728111,9:38:48:111,48.04,100
34728184,9:38:48:184,48.04,100
34728185,9:38:48:185,48.04,100
34730700,9:38:50:700,48.05,200
34735278,9:38:55:278,48.05,1300
34747796,9:39:7:796,48.02,14
34747796,9:39:7:796,48.02,86
34747796,9:39:7:796,48.02,100
34747797,9:39:7:797,48.02,100
34747797,9:39:7:797,48.01,100
34747797,9:39:7:797,48.01,100
34747797,9:39:7:797,48.01,100
34747797,9:39:7:797,48.01,100
34747798,9:39:7:798,48.02,100
34747800,9:39:7:800,47.99,4
34751991,9:39:11:991,48.02,200
34751991,9:39:11:991,48.02,100
34751991,9:39:11:991,48.02,200
34751991,9:39:11:991,48.02,100
34751991,9:39:11:991,48.02,100
34752001,9:39:12:1,48.03,100
34752001,9:39:12:1,48.03,100
34752001,9:39:12:1,48.03,100
34756806,9:39:16:806,48.03,87
34756806,9:39:16:806,48.03,13
34756832,9:39:16:832,48.03,100
34756833,9:39:16:833,48.03,100
34756834,9:39:16:834,48.03,100
34756835,9:39:16:835,48.03,100
34756837,9:39:16:837,48.03,200
34756838,9:39:16:838,48.03,200
34756839,9:39:16:839,48.03,100
34756839,9:39:16:839,48.03,100
34756839,9:39:16:839,48.03,100
34757161,9:39:17:161,48.03,100
34760507,9:39:20:507,48.03,200
34760508,9:39:20:508,48.03,100
34761209,9:39:21:209,48.04,400
34764263,9:39:24:263,48.03,100
34764281,9:39:24:281,48.04,100
34764282,9:39:24:282,48.04,100
34764294,9:39:24:294,48.04,79
34764294,9:39:24:294,48.04,21
34764294,9:39:24:294,48.04,100
34766878,9:39:26:878,48.04,100
34767038,9:39:27:38,48.04,100
34768039,9:39:28:39,48.04,100
34768039,9:39:28:39,48.05,100
34768039,9:39:28:39,48.05,100
34773524,9:39:33:524,48.03,100
34779944,9:39:39:944,48.04,50
34779944,9:39:39:944,48.04,250
34779944,9:39:39:944,48.04,100
34779944,9:39:39:944,48.05,50
34779944,9:39:39:944,48.05,50
34779945,9:39:39:945,48.05,62
34779945,9:39:39:945,48.05,16
34779945,9:39:39:945,48.05,84
34779945,9:39:39:945,48.05,100
34779945,9:39:39:945,48.05,137
34783578,9:39:43:578,48.05,200
34783819,9:39:43:819,48.04,25000
34786235,9:39:46:235,48.05,100
34786235,9:39:46:235,48.05,200
34792347,9:39:52:347,48.06,200
34793148,9:39:53:148,48.06,200
34793174,9:39:53:174,48.07,300
34793175,9:39:53:175,48.07,100
34795923,9:39:55:923,48.07,1200
34798987,9:39:58:987,48.07,200
34802374,9:40:2:374,48.07,700
34815345,9:40:15:345,48.03,17
34815345,9:40:15:345,48.03,100
